time,node_time,node_seq,boot_id,effective_time,clock_source,mac,esp_id,batch_id,experiment_id,trial_type,trial_position,raw_room,raw_rssi,ground_truth_room,ground_truth_scenario,baseline_room,baseline_changed,median_room,median_changed,median_hysteresis_room,median_hysteresis_changed,median_hysteresis_rejected,median_hysteresis_persistence_room,median_hysteresis_persistence_changed,baseline_agrees_with_final,median_agrees_with_final,median_hysteresis_agrees_with_final
2026-08-25 13:04:49,2026-08-25 13:04:48,480,1151497274,2026-08-25 13:04:49,server,c3:00:00:13:3b:b7,ESP-02,d5d1ba42-c020-48a1-b35b-611d81c6488b,DIN-AB-R9,dynamic,AB,Sala A,-63,Sala A,movimento,Sala A,True,Sala A,True,Sala A,True,False,,False,False,False,False
2026-08-25 13:04:49,2026-08-25 13:04:48,1171,1690126268,2026-08-25 13:04:49,server,c3:00:00:13:3b:b7,ESP-03,9f93e377-760a-4648-be8a-c305e4625dec,DIN-AB-R9,dynamic,AB,Sala B,-93,Sala A,movimento,Sala B,True,Sala A,False,Sala A,False,False,,False,False,False,False
2026-08-25 13:04:51,2026-08-25 13:04:25,478,1151497274,2026-08-25 13:04:51,server,c3:00:00:13:3b:b7,ESP-02,4ccd8827-2397-4457-a3e5-0549402a368a,DIN-AB-R9,dynamic,AB,Sala A,-60,Sala A,movimento,Sala A,True,Sala A,False,Sala A,False,False,Sala A,True,True,True,True
2026-08-25 13:04:55,2026-08-25 13:04:52,1122,2239514506,2026-08-25 13:04:55,server,c3:00:00:13:3b:b7,ESP-01,8fe12c10-e7c3-4ae1-9922-f386d6d7d6ef,DIN-AB-R9,dynamic,AB,Corredor,-71,Sala A,movimento,Corredor,True,Sala A,False,Sala A,False,False,Sala A,False,False,True,True
2026-08-25 13:05:01,2026-08-25 13:05:00,1172,1690126268,2026-08-25 13:05:01,server,c3:00:00:13:3b:b7,ESP-03,26543f89-1709-49e1-b827-1151eed93f85,DIN-AB-R9,dynamic,AB,Sala B,-91,Sala A,movimento,Sala B,True,Sala A,False,Sala A,False,False,Sala A,False,False,True,True
2026-08-25 13:05:08,2026-08-25 13:05:07,1123,2239514506,2026-08-25 13:05:08,server,c3:00:00:13:3b:b7,ESP-01,977c4173-97fa-4b4c-8c82-034ddaac0ae6,DIN-AB-R9,dynamic,AB,Corredor,-85,Corredor,movimento,Corredor,True,Sala A,False,Sala A,False,False,Sala A,False,False,True,True
2026-08-25 13:05:09,2026-08-25 13:05:00,481,1151497274,2026-08-25 13:05:09,server,c3:00:00:13:3b:b7,ESP-02,6bb954e4-8baf-455e-b1de-fa85e6d0f72c,DIN-AB-R9,dynamic,AB,Sala A,-57,Corredor,movimento,Sala A,True,Sala A,False,Sala A,False,False,Sala A,False,True,True,True
2026-08-25 13:05:13,2026-08-25 13:05:13,1173,1690126268,2026-08-25 13:05:13,server,c3:00:00:13:3b:b7,ESP-03,ab723700-257a-4392-b0cc-2c499368df3f,DIN-AB-R9,dynamic,AB,Sala B,-73,Sala B,movimento,Sala B,True,Sala A,False,Sala A,False,False,Sala A,False,False,True,True
2026-08-25 13:05:15,2026-08-25 13:05:14,482,1151497274,2026-08-25 13:05:15,server,c3:00:00:13:3b:b7,ESP-02,a6174ec5-9b33-4ca6-bd00-0629d43ff55d,DIN-AB-R9,dynamic,AB,Sala A,-87,Sala B,movimento,Sala A,True,Sala A,False,Sala A,False,False,Sala A,False,True,True,True
2026-08-25 13:05:20,2026-08-25 13:05:19,1124,2239514506,2026-08-25 13:05:20,server,c3:00:00:13:3b:b7,ESP-01,669af6d7-80dc-4f5d-89a0-8711cc604045,DIN-AB-R9,dynamic,AB,Corredor,-77,Sala B,movimento,Corredor,True,Sala A,False,Sala A,False,False,Sala A,False,False,True,True
2026-08-25 13:05:26,2026-08-25 13:05:25,1174,1690126268,2026-08-25 13:05:26,server,c3:00:00:13:3b:b7,ESP-03,e34c8338-2a42-4e55-a602-3bd9a198511c,DIN-AB-R9,dynamic,AB,Sala B,-63,Sala B,movimento,Sala B,True,Sala B,True,Sala A,False,True,Sala A,False,False,False,True
2026-08-25 13:05:28,2026-08-25 13:05:27,483,1151497274,2026-08-25 13:05:28,server,c3:00:00:13:3b:b7,ESP-02,16593d13-f8fd-49e3-b5e1-5805ba1d987a,DIN-AB-R9,dynamic,AB,Sala A,-79,Sala B,movimento,Sala A,True,Sala B,False,Sala A,False,True,Sala A,False,True,False,True
