time,node_time,node_seq,boot_id,effective_time,clock_source,mac,esp_id,batch_id,experiment_id,trial_type,trial_position,raw_room,raw_rssi,ground_truth_room,ground_truth_scenario,baseline_room,baseline_changed,median_room,median_changed,median_hysteresis_room,median_hysteresis_changed,median_hysteresis_rejected,median_hysteresis_persistence_room,median_hysteresis_persistence_changed,baseline_agrees_with_final,median_agrees_with_final,median_hysteresis_agrees_with_final
2026-08-25 13:05:45,2026-08-25 13:05:44,1126,2239514506,2026-08-25 13:05:45,server,c3:00:00:13:3b:b7,ESP-01,f1b64a40-95fa-4381-9b47-0b472c8f5a1b,DIN-BA-R9,dynamic,BA,Corredor,-83,Sala B,movimento,Corredor,True,Corredor,True,Corredor,True,False,,False,False,False,False
2026-08-25 13:05:50,2026-08-25 13:05:49,1176,1690126268,2026-08-25 13:05:50,server,c3:00:00:13:3b:b7,ESP-03,efc21e9a-ab32-47d6-aed4-ae0b0e72881d,DIN-BA-R9,dynamic,BA,Sala B,-58,Sala B,movimento,Sala B,True,Sala B,True,Sala B,True,False,,False,False,False,False
2026-08-25 13:05:57,2026-08-25 13:05:52,485,1151497274,2026-08-25 13:05:57,server,c3:00:00:13:3b:b7,ESP-02,7e2da719-1bf9-4e98-9ecf-9ece456d51ee,DIN-BA-R9,dynamic,BA,Sala A,-82,Sala B,movimento,Sala A,True,Sala B,False,Sala B,False,False,,False,False,False,False
2026-08-25 13:05:57,2026-08-25 13:05:57,1127,2239514506,2026-08-25 13:05:57,server,c3:00:00:13:3b:b7,ESP-01,5dfca93c-965e-463b-bf1d-a108f96aa2cf,DIN-BA-R9,dynamic,BA,Corredor,-77,Sala B,movimento,Corredor,True,Sala B,False,Sala B,False,False,Sala B,True,False,True,True
2026-08-25 13:06:02,2026-08-25 13:06:02,1177,1690126268,2026-08-25 13:06:02,server,c3:00:00:13:3b:b7,ESP-03,01b6fc48-ea76-4ef4-89be-abc0032e4627,DIN-BA-R9,dynamic,BA,Sala B,-74,Sala B,movimento,Sala B,True,Sala B,False,Sala B,False,False,Sala B,False,True,True,True
2026-08-25 13:06:03,2026-08-25 13:06:02,486,1151497274,2026-08-25 13:06:03,server,c3:00:00:13:3b:b7,ESP-02,ba679e8c-aae0-45a0-bea9-e31082699772,DIN-BA-R9,dynamic,BA,Sala A,-105,Corredor,movimento,Sala A,True,Sala B,False,Sala B,False,False,Sala B,False,False,True,True
2026-08-25 13:06:10,2026-08-25 13:06:09,1128,2239514506,2026-08-25 13:06:10,server,c3:00:00:13:3b:b7,ESP-01,184605d6-932e-4596-ba63-6c2231b5f7ee,DIN-BA-R9,dynamic,BA,Corredor,-69,Sala A,movimento,Corredor,True,Corredor,True,Sala B,False,True,Sala B,False,False,False,True
2026-08-25 13:06:16,2026-08-25 13:06:15,487,1151497274,2026-08-25 13:06:16,server,c3:00:00:13:3b:b7,ESP-02,a235e152-1d3c-424b-941f-7ee48f1bc3c6,DIN-BA-R9,dynamic,BA,Sala A,-61,Sala A,movimento,Sala A,True,Corredor,False,Sala B,False,True,Sala B,False,False,False,True
2026-08-25 13:06:18,2026-08-25 13:06:14,1178,1690126268,2026-08-25 13:06:18,server,c3:00:00:13:3b:b7,ESP-03,d3510f63-6d60-47be-9c22-9a7cf1972985,DIN-BA-R9,dynamic,BA,Sala B,-84,Sala A,movimento,Sala B,True,Corredor,False,Sala B,False,True,Sala B,False,True,False,True
2026-08-25 13:06:22,2026-08-25 13:06:21,1129,2239514506,2026-08-25 13:06:22,server,c3:00:00:13:3b:b7,ESP-01,68ad7bd2-4800-458d-af84-8dcd8386b553,DIN-BA-R9,dynamic,BA,Corredor,-74,Sala A,movimento,Corredor,True,Corredor,False,Sala B,False,True,Sala B,False,False,False,True
2026-08-25 13:06:28,2026-08-25 13:06:27,488,1151497274,2026-08-25 13:06:28,server,c3:00:00:13:3b:b7,ESP-02,2d568668-a922-4cd9-91be-76f3b44d9fc4,DIN-BA-R9,dynamic,BA,Sala A,-65,Sala A,movimento,Sala A,True,Sala A,True,Sala B,False,True,Sala B,False,False,False,True
