time,node_time,node_seq,boot_id,effective_time,clock_source,mac,esp_id,batch_id,experiment_id,trial_type,trial_position,raw_room,raw_rssi,ground_truth_room,ground_truth_scenario,baseline_room,baseline_changed,median_room,median_changed,median_hysteresis_room,median_hysteresis_changed,median_hysteresis_rejected,median_hysteresis_candidate_room,median_hysteresis_candidate_rssi,median_hysteresis_current_room_rssi,median_hysteresis_difference_db,median_hysteresis_persistence_room,median_hysteresis_persistence_changed,baseline_agrees_with_final,median_agrees_with_final,median_hysteresis_agrees_with_final
2026-08-26 16:06:32,2026-08-26 16:06:31,576,1242899341,2026-08-26 16:06:32,server,c3:00:00:13:3b:b7,ESP-03,5b9e2748-0d20-43ce-8ee6-3eb2e1c2e4dc,DIN2–AB-R12,,,Sala B,-97,Sala A,movimento,Sala B,True,Sala B,True,Sala B,True,False,Sala B,-97.0,,,,False,False,False,False
2026-08-26 16:06:32,2026-08-26 16:06:31,563,998155149,2026-08-26 16:06:32,server,c3:00:00:13:3b:b7,ESP-01,e54d2b9d-8bef-4a26-a86c-bacce5d7504a,DIN2–AB-R12,,,Corredor,-82,Sala A,movimento,Corredor,True,Corredor,True,Corredor,True,False,Corredor,-82.0,-97.0,15.0,,False,False,False,False
2026-08-26 16:06:34,2026-08-26 16:06:33,120,1964215701,2026-08-26 16:06:34,server,c3:00:00:13:3b:b7,ESP-02,6ef72766-9b58-4533-a397-1d8238b76b27,DIN2–AB-R12,,,Sala A,-63,Sala A,movimento,Sala A,True,Sala A,True,Sala A,True,False,Sala A,-63.0,-82.0,19.0,,False,False,False,False
2026-08-26 16:06:35,2026-08-26 16:06:34,577,1242899341,2026-08-26 16:06:35,server,c3:00:00:13:3b:b7,ESP-03,a07a4d54-9b44-47a4-95d7-c3facf2ff9f1,DIN2–AB-R12,,,Sala B,-84,Sala A,movimento,Sala B,True,Sala A,False,Sala A,False,False,Sala A,-63.0,-63.0,,Sala A,True,False,True,True
2026-08-26 16:06:35,2026-08-26 16:06:34,564,998155149,2026-08-26 16:06:35,server,c3:00:00:13:3b:b7,ESP-01,7bfa43b9-daa6-4e2b-b85b-a55b849ef74f,DIN2–AB-R12,,,Corredor,-95,Sala A,movimento,Corredor,True,Sala A,False,Sala A,False,False,Sala A,-63.0,-63.0,,Sala A,False,False,True,True
2026-08-26 16:06:39,2026-08-26 16:06:38,565,998155149,2026-08-26 16:06:39,server,c3:00:00:13:3b:b7,ESP-01,cbd90b7d-a569-4d6c-a903-502201cc1145,DIN2–AB-R12,,,Corredor,-75,Sala A,movimento,Corredor,False,Corredor,True,Corredor,True,False,Corredor,-75.0,,,Sala A,False,False,False,False
2026-08-26 16:06:39,2026-08-26 16:06:38,578,1242899341,2026-08-26 16:06:39,server,c3:00:00:13:3b:b7,ESP-03,3d788161-0145-4577-9820-d61239192caa,DIN2–AB-R12,,,Sala B,-92,Sala A,movimento,Sala B,True,Corredor,False,Corredor,False,False,Corredor,-75.0,-75.0,,Corredor,True,False,True,True
2026-08-26 16:06:40,2026-08-26 16:06:36,121,1964215701,2026-08-26 16:06:40,server,c3:00:00:13:3b:b7,ESP-02,0faf2a36-1348-4205-95fb-5415da6e3b2d,DIN2–AB-R12,,,Sala A,-62,Sala A,movimento,Sala A,True,Sala A,True,Sala A,True,False,Sala A,-62.0,-75.0,13.0,Corredor,False,False,False,False
2026-08-26 16:06:43,2026-08-26 16:06:42,566,998155149,2026-08-26 16:06:43,server,c3:00:00:13:3b:b7,ESP-01,956d82bc-02ac-4651-b452-7153de297990,DIN2–AB-R12,,,Corredor,-78,Sala A,movimento,Corredor,True,Sala A,False,Sala A,False,False,Sala A,-62.0,-62.0,,Sala A,True,False,True,True
2026-08-26 16:06:43,2026-08-26 16:06:41,579,1242899341,2026-08-26 16:06:43,server,c3:00:00:13:3b:b7,ESP-03,c9b52d9e-f5b1-496a-b2b7-d78028f6b442,DIN2–AB-R12,,,Sala B,-93,Sala A,movimento,Sala B,True,Sala A,False,Sala A,False,False,Sala A,-62.0,-62.0,,Sala A,False,False,True,True
2026-08-26 16:06:44,2026-08-26 16:06:43,122,1964215701,2026-08-26 16:06:44,server,c3:00:00:13:3b:b7,ESP-02,5ef53bd7-e680-4733-9852-949d3ef92906,DIN2–AB-R12,,,Sala A,-62,Sala A,movimento,Sala A,True,Sala A,False,Sala A,False,False,Sala A,-62.0,-62.0,,Sala A,False,True,True,True
2026-08-26 16:06:46,2026-08-26 16:06:45,580,1242899341,2026-08-26 16:06:46,server,c3:00:00:13:3b:b7,ESP-03,d64a4a6b-80f2-4b9a-ac58-ab6f791d4ae3,DIN2–AB-R12,,,Sala B,-96,Sala A,movimento,Sala B,True,Sala A,False,Sala A,False,False,Sala A,-62.0,-62.0,,Sala A,False,False,True,True
2026-08-26 16:06:46,2026-08-26 16:06:45,567,998155149,2026-08-26 16:06:46,server,c3:00:00:13:3b:b7,ESP-01,34126813-7626-4a17-a3b6-90a0d6570595,DIN2–AB-R12,,,Corredor,-77,Sala A,movimento,Corredor,True,Sala A,False,Sala A,False,False,Sala A,-62.0,-62.0,,Sala A,False,False,True,True
2026-08-26 16:06:48,2026-08-26 16:06:47,123,1964215701,2026-08-26 16:06:48,server,c3:00:00:13:3b:b7,ESP-02,1a0c0aca-757b-49e4-917b-3e0e90c55c20,DIN2–AB-R12,,,Sala A,-60,Sala A,movimento,Sala A,True,Sala A,False,Sala A,False,False,Sala A,-60.0,-60.0,,Sala A,False,True,True,True
2026-08-26 16:06:50,2026-08-26 16:06:49,568,998155149,2026-08-26 16:06:50,server,c3:00:00:13:3b:b7,ESP-01,486be612-7a40-4802-af10-1332832f086a,DIN2–AB-R12,,,Corredor,-85,Sala A,movimento,Corredor,True,Sala A,False,Sala A,False,False,Sala A,-60.0,-60.0,,Sala A,False,False,True,True
2026-08-26 16:06:50,2026-08-26 16:06:49,581,1242899341,2026-08-26 16:06:50,server,c3:00:00:13:3b:b7,ESP-03,e3a850cd-37ee-4a65-b267-79639a89b70f,DIN2–AB-R12,,,Sala B,-99,Sala A,movimento,Sala B,True,Sala A,False,Sala A,False,False,Sala A,-60.0,-60.0,,Sala A,False,False,True,True
2026-08-26 16:06:51,2026-08-26 16:06:50,124,1964215701,2026-08-26 16:06:51,server,c3:00:00:13:3b:b7,ESP-02,56fd546f-5ea3-4a96-8652-d869f60327db,DIN2–AB-R12,,,Sala A,-55,Sala A,movimento,Sala A,True,Sala A,False,Sala A,False,False,Sala A,-57.5,-57.5,,Sala A,False,True,True,True
2026-08-26 16:06:53,2026-08-26 16:06:52,569,998155149,2026-08-26 16:06:53,server,c3:00:00:13:3b:b7,ESP-01,70b3afbe-c3ca-47a7-9a20-59523e47af37,DIN2–AB-R12,,,Corredor,-77,Corredor,movimento,Corredor,True,Sala A,False,Sala A,False,False,Sala A,-55.0,-55.0,,Sala A,False,False,True,True
2026-08-26 16:06:55,2026-08-26 16:06:54,125,1964215701,2026-08-26 16:06:55,server,c3:00:00:13:3b:b7,ESP-02,0e4ed92b-c48f-4114-9204-49cdfe658ca5,DIN2–AB-R12,,,Sala A,-80,Corredor,movimento,Sala A,True,Corredor,True,Sala A,False,True,Corredor,-77.0,-80.0,3.0,Sala A,False,True,False,True
2026-08-26 16:06:56,2026-08-26 16:06:52,582,1242899341,2026-08-26 16:06:56,server,c3:00:00:13:3b:b7,ESP-03,8abe11d2-ed6f-40be-8959-77e93e75f016,DIN2–AB-R12,,,Sala B,-86,Corredor,movimento,Sala B,True,Corredor,False,Sala A,False,True,Corredor,-77.0,-80.0,3.0,Sala A,False,False,False,True
2026-08-26 16:06:57,2026-08-26 16:06:56,570,998155149,2026-08-26 16:06:57,server,c3:00:00:13:3b:b7,ESP-01,e38f78e1-cc68-4b1c-8d99-f73890d56569,DIN2–AB-R12,,,Corredor,-64,Corredor,movimento,Corredor,True,Corredor,False,Corredor,True,False,Corredor,-64.0,-80.0,16.0,Sala A,False,False,False,False
