mac,method,num_detections,num_decided,num_transitions,first_decision_index,agree_rate_vs_final,accuracy,num_true_movements,num_missed_movements,missed_movement_rate,num_false_movements,false_movements_per_hour,latency_median_sec,latency_p95_sec,latency_iqr_sec,latency_min_sec,latency_max_sec,pct_time_unknown_or_transition
c3:00:00:13:3b:b7,baseline,30,30,29,0,0.3333333333333333,0.3333333333333333,2.0,0.0,0.0,14.0,752.2388059701493,2.5,3.85,1.5,1.0,4.0,0.0
c3:00:00:13:3b:b7,median,30,30,4,0,0.8888888888888888,0.6666666666666666,2.0,1.0,0.5,1.0,53.73134328358209,8.0,8.0,0.0,8.0,8.0,0.0
c3:00:00:13:3b:b7,median_hysteresis,30,30,4,0,0.8888888888888888,0.6666666666666666,2.0,1.0,0.5,1.0,53.73134328358209,8.0,8.0,0.0,8.0,8.0,0.0
c3:00:00:13:3b:b7,median_hysteresis_persistence,30,27,1,3,1.0,0.6190476190476191,2.0,1.0,0.5,0.0,0.0,9.0,9.0,0.0,9.0,9.0,10.0
c3:00:00:13:3b:f2,baseline,30,30,29,0,0.3076923076923077,,,,,,,,,,,,0.0
c3:00:00:13:3b:f2,median,30,30,5,0,0.8461538461538461,,,,,,,,,,,,0.0
c3:00:00:13:3b:f2,median_hysteresis,30,30,4,0,0.8846153846153846,,,,,,,,,,,,0.0
c3:00:00:13:3b:f2,median_hysteresis_persistence,30,26,1,4,1.0,,,,,,,,,,,,13.333333333333334
c3:00:00:13:3c:1e,baseline,28,28,27,0,0.32,,,,,,,,,,,,0.0
c3:00:00:13:3c:1e,median,28,28,3,0,0.96,,,,,,,,,,,,0.0
c3:00:00:13:3c:1e,median_hysteresis,28,28,3,0,0.96,,,,,,,,,,,,0.0
c3:00:00:13:3c:1e,median_hysteresis_persistence,28,25,0,3,1.0,,,,,,,,,,,,10.714285714285714
