time,node_time,node_seq,boot_id,effective_time,clock_source,mac,esp_id,batch_id,experiment_id,trial_type,trial_position,raw_room,raw_rssi,ground_truth_room,ground_truth_scenario,baseline_room,baseline_changed,median_room,median_changed,median_hysteresis_room,median_hysteresis_changed,median_hysteresis_rejected,median_hysteresis_candidate_room,median_hysteresis_candidate_rssi,median_hysteresis_current_room_rssi,median_hysteresis_difference_db,median_hysteresis_persistence_room,median_hysteresis_persistence_changed,baseline_agrees_with_final,median_agrees_with_final,median_hysteresis_agrees_with_final
2026-08-26 14:43:11,2026-08-26 14:43:10,2924,1366431522,2026-08-26 14:43:11,server,c3:00:00:13:3b:b7,ESP-03,b9e3263d-33de-4839-aafb-f9b5b002ff2d,DIN2–BA-R4,,,Sala B,-84,Sala B,movimento,Sala B,True,Sala B,True,Sala B,True,False,Sala B,-84.0,,,,False,False,False,False
2026-08-26 14:43:12,2026-08-26 14:43:11,2911,2605610151,2026-08-26 14:43:12,server,c3:00:00:13:3b:b7,ESP-01,5f386af5-1c77-4f1c-99cd-13a0df688513,DIN2–BA-R4,,,Corredor,-85,Sala B,movimento,Corredor,True,Sala B,False,Sala B,False,False,Sala B,-84.0,-84.0,,,False,False,False,False
2026-08-26 14:43:15,2026-08-26 14:43:11,72,4156849429,2026-08-26 14:43:15,server,c3:00:00:13:3b:b7,ESP-02,99a6f235-3905-4bc3-8805-b90b09a135ac,DIN2–BA-R4,,,Sala A,-103,Sala B,movimento,Sala A,True,Sala B,False,Sala B,False,False,Sala B,-84.0,-84.0,,Sala B,True,False,True,True
2026-08-26 14:43:18,2026-08-26 14:43:17,2925,1366431522,2026-08-26 14:43:18,server,c3:00:00:13:3b:b7,ESP-03,d63ff597-bae8-48fe-9bfe-dead27c5f492,DIN2–BA-R4,,,Sala B,-56,Sala B,movimento,Sala B,True,Sala B,False,Sala B,False,False,Sala B,-70.0,-70.0,,Sala B,False,True,True,True
2026-08-26 14:43:19,2026-08-26 14:43:18,2912,2605610151,2026-08-26 14:43:19,server,c3:00:00:13:3b:b7,ESP-01,7bfe0931-ce6e-4756-84c1-e3b27d375095,DIN2–BA-R4,,,Corredor,-85,Sala B,movimento,Corredor,True,Sala B,False,Sala B,False,False,Sala B,-70.0,-70.0,,Sala B,False,False,True,True
2026-08-26 14:43:21,2026-08-26 14:43:20,73,4156849429,2026-08-26 14:43:21,server,c3:00:00:13:3b:b7,ESP-02,e00ec745-485c-40b6-b0db-4fdde672ab34,DIN2–BA-R4,,,Sala A,-94,Sala B,movimento,Sala A,True,Sala B,False,Sala B,False,False,Sala B,-56.0,-56.0,,Sala B,False,False,True,True
2026-08-26 14:43:24,2026-08-26 14:43:23,2926,1366431522,2026-08-26 14:43:24,server,c3:00:00:13:3b:b7,ESP-03,b67eb917-ce54-4cef-9c6c-55e5ce191db9,DIN2–BA-R4,,,Sala B,-62,Sala B,movimento,Sala B,True,Sala B,False,Sala B,False,False,Sala B,-59.0,-59.0,,Sala B,False,True,True,True
2026-08-26 14:43:26,2026-08-26 14:43:25,2913,2605610151,2026-08-26 14:43:26,server,c3:00:00:13:3b:b7,ESP-01,0669591c-11e4-4d21-8020-5d8102742697,DIN2–BA-R4,,,Corredor,-85,Sala B,movimento,Corredor,True,Sala B,False,Sala B,False,False,Sala B,-59.0,-59.0,,Sala B,False,False,True,True
2026-08-26 14:43:28,2026-08-26 14:43:27,74,4156849429,2026-08-26 14:43:28,server,c3:00:00:13:3b:b7,ESP-02,82cd75d5-6a89-4aee-8edd-662a166e6cf1,DIN2–BA-R4,,,Sala A,-101,Corredor,movimento,Sala A,True,Sala B,False,Sala B,False,False,Sala B,-62.0,-62.0,,Sala B,False,False,True,True
2026-08-26 14:43:31,2026-08-26 14:43:30,2927,1366431522,2026-08-26 14:43:31,server,c3:00:00:13:3b:b7,ESP-03,6dde4323-7d4a-443a-9b9b-f90aaf993521,DIN2–BA-R4,,,Sala B,-72,Corredor,movimento,Sala B,True,Sala B,False,Sala B,False,False,Sala B,-67.0,-67.0,,Sala B,False,True,True,True
2026-08-26 14:43:32,2026-08-26 14:43:31,2914,2605610151,2026-08-26 14:43:32,server,c3:00:00:13:3b:b7,ESP-01,b082e057-b119-4c97-aa26-90d31f37595a,DIN2–BA-R4,,,Corredor,-69,Corredor,movimento,Corredor,True,Sala B,False,Sala B,False,False,Sala B,-67.0,-67.0,,Sala B,False,False,True,True
2026-08-26 14:43:34,2026-08-26 14:43:33,75,4156849429,2026-08-26 14:43:34,server,c3:00:00:13:3b:b7,ESP-02,a5be664d-1afc-4e00-b07d-9f5e5816c49b,DIN2–BA-R4,,,Sala A,-78,Sala A,movimento,Sala A,True,Sala B,False,Sala B,False,False,Sala B,-72.0,-72.0,,Sala B,False,False,True,True
2026-08-26 14:43:37,2026-08-26 14:43:37,2928,1366431522,2026-08-26 14:43:37,server,c3:00:00:13:3b:b7,ESP-03,4b9d3d6f-e8fe-4122-b7cd-50678a87f248,DIN2–BA-R4,,,Sala B,-94,Sala A,movimento,Sala B,True,Corredor,True,Corredor,True,False,Corredor,-69.0,-83.0,14.0,Sala B,False,True,False,False
2026-08-26 14:43:39,2026-08-26 14:43:38,2915,2605610151,2026-08-26 14:43:39,server,c3:00:00:13:3b:b7,ESP-01,2dfcc23b-e16f-4822-bb2f-92bc5abfaaaf,DIN2–BA-R4,,,Corredor,-83,Sala A,movimento,Corredor,True,Corredor,False,Corredor,False,False,Corredor,-76.0,-76.0,,Sala B,False,False,False,False
2026-08-26 14:43:41,2026-08-26 14:43:40,76,4156849429,2026-08-26 14:43:41,server,c3:00:00:13:3b:b7,ESP-02,4b0e1b7b-7471-4ca4-997c-9cf13a6d7d9f,DIN2–BA-R4,,,Sala A,-76,Sala A,movimento,Sala A,True,Sala A,True,Sala A,True,False,Sala A,-77.0,-83.0,6.0,Sala B,False,False,False,False
2026-08-26 14:43:44,2026-08-26 14:43:43,2929,1366431522,2026-08-26 14:43:44,server,c3:00:00:13:3b:b7,ESP-03,25789cea-8a1e-48cb-a45e-c259f1f62ab9,DIN2–BA-R4,,,Sala B,-89,Sala A,movimento,Sala B,True,Sala A,False,Sala A,False,False,Sala A,-76.0,-76.0,,Sala B,False,True,False,False
2026-08-26 14:43:46,2026-08-26 14:43:45,2916,2605610151,2026-08-26 14:43:46,server,c3:00:00:13:3b:b7,ESP-01,aa1c7bd9-38a5-4c38-bfa0-2e3e557313f5,DIN2–BA-R4,,,Corredor,-89,Sala A,movimento,Corredor,True,Sala A,False,Sala A,False,False,Sala A,-76.0,-76.0,,Sala A,True,False,True,True
2026-08-26 14:43:47,2026-08-26 14:43:46,77,4156849429,2026-08-26 14:43:47,server,c3:00:00:13:3b:b7,ESP-02,eace6e01-a1c7-425b-af18-95a4239d95a3,DIN2–BA-R4,,,Sala A,-62,Sala A,movimento,Sala A,True,Sala A,False,Sala A,False,False,Sala A,-69.0,-69.0,,Sala A,False,True,True,True
2026-08-26 14:43:11,2026-08-26 14:43:10,2924,1366431522,2026-08-26 14:43:11,server,c3:00:00:13:3b:f2,ESP-03,b9e3263d-33de-4839-aafb-f9b5b002ff2d,DIN2–BA-R4,,,Sala B,-83,,,Sala B,True,Sala B,True,Sala B,True,False,Sala B,-83.0,,,,False,False,False,False
2026-08-26 14:43:12,2026-08-26 14:43:11,2911,2605610151,2026-08-26 14:43:12,server,c3:00:00:13:3b:f2,ESP-01,5f386af5-1c77-4f1c-99cd-13a0df688513,DIN2–BA-R4,,,Corredor,-74,,,Corredor,True,Corredor,True,Corredor,True,False,Corredor,-74.0,-83.0,9.0,,False,False,False,False
2026-08-26 14:43:15,2026-08-26 14:43:11,72,4156849429,2026-08-26 14:43:15,server,c3:00:00:13:3b:f2,ESP-02,99a6f235-3905-4bc3-8805-b90b09a135ac,DIN2–BA-R4,,,Sala A,-77,,,Sala A,True,Corredor,False,Corredor,False,False,Corredor,-74.0,-74.0,,,False,False,False,False
2026-08-26 14:43:18,2026-08-26 14:43:17,2925,1366431522,2026-08-26 14:43:18,server,c3:00:00:13:3b:f2,ESP-03,d63ff597-bae8-48fe-9bfe-dead27c5f492,DIN2–BA-R4,,,Sala B,-85,,,Sala B,True,Corredor,False,Corredor,False,False,Corredor,-74.0,-74.0,,Corredor,True,False,True,True
2026-08-26 14:43:19,2026-08-26 14:43:18,2912,2605610151,2026-08-26 14:43:19,server,c3:00:00:13:3b:f2,ESP-01,7bfe0931-ce6e-4756-84c1-e3b27d375095,DIN2–BA-R4,,,Corredor,-82,,,Corredor,True,Sala A,True,Corredor,False,True,Sala A,-77.0,-78.0,1.0,Corredor,False,True,False,True
2026-08-26 14:43:21,2026-08-26 14:43:20,73,4156849429,2026-08-26 14:43:21,server,c3:00:00:13:3b:f2,ESP-02,e00ec745-485c-40b6-b0db-4fdde672ab34,DIN2–BA-R4,,,Sala A,-78,,,Sala A,True,Sala A,False,Corredor,False,True,Sala A,-77.5,-82.0,4.5,Corredor,False,False,False,True
2026-08-26 14:43:24,2026-08-26 14:43:23,2926,1366431522,2026-08-26 14:43:24,server,c3:00:00:13:3b:f2,ESP-03,b67eb917-ce54-4cef-9c6c-55e5ce191db9,DIN2–BA-R4,,,Sala B,-84,,,Sala B,True,Sala A,False,Corredor,False,True,Sala A,-78.0,-82.0,4.0,Corredor,False,False,False,True
2026-08-26 14:43:26,2026-08-26 14:43:25,2913,2605610151,2026-08-26 14:43:26,server,c3:00:00:13:3b:f2,ESP-01,0669591c-11e4-4d21-8020-5d8102742697,DIN2–BA-R4,,,Corredor,-85,,,Corredor,True,Sala A,False,Sala A,True,False,Sala A,-78.0,-83.5,5.5,Corredor,False,True,False,False
2026-08-26 14:43:28,2026-08-26 14:43:27,74,4156849429,2026-08-26 14:43:28,server,c3:00:00:13:3b:f2,ESP-02,82cd75d5-6a89-4aee-8edd-662a166e6cf1,DIN2–BA-R4,,,Sala A,-74,,,Sala A,True,Sala A,False,Sala A,False,False,Sala A,-76.0,-76.0,,Corredor,False,False,False,False
