time,node_time,node_seq,boot_id,effective_time,clock_source,mac,esp_id,batch_id,experiment_id,trial_type,trial_position,raw_room,raw_rssi,ground_truth_room,ground_truth_scenario,baseline_room,baseline_changed,median_room,median_changed,median_hysteresis_room,median_hysteresis_changed,median_hysteresis_rejected,median_hysteresis_persistence_room,median_hysteresis_persistence_changed,baseline_agrees_with_final,median_agrees_with_final,median_hysteresis_agrees_with_final
2026-08-25 11:11:42,2026-08-25 11:11:41,15,2441852059,2026-08-25 11:11:42,server,c3:00:00:13:3b:b7,ESP-02,b47efab5-ceb1-4077-b5fa-60b23d60765e,EST-B2-R2,static,B2,Sala A,-85,,,Sala A,True,Sala A,True,Sala A,True,False,,False,False,False,False
2026-08-25 11:11:47,2026-08-25 11:11:46,612,1690126268,2026-08-25 11:11:47,server,c3:00:00:13:3b:b7,ESP-03,189cf65e-4ecc-4573-a762-148d7e0c5b85,EST-B2-R2,static,B2,Sala B,-66,Sala B,junto_porta,Sala B,True,Sala B,True,Sala B,True,False,,False,False,False,False
2026-08-25 11:11:50,2026-08-25 11:11:50,560,2239514506,2026-08-25 11:11:50,server,c3:00:00:13:3b:b7,ESP-01,dea4ad21-08f9-489c-829a-a34af5b716d0,EST-B2-R2,static,B2,Corredor,-94,Sala B,junto_porta,Corredor,True,Sala B,False,Sala B,False,False,,False,False,False,False
2026-08-25 11:11:54,2026-08-25 11:11:54,16,2441852059,2026-08-25 11:11:54,server,c3:00:00:13:3b:b7,ESP-02,259f4c5b-5903-433d-8538-1e13ee6d07be,EST-B2-R2,static,B2,Sala A,-85,Sala B,junto_porta,Sala A,True,Sala B,False,Sala B,False,False,Sala B,True,False,True,True
2026-08-25 11:11:59,2026-08-25 11:11:58,613,1690126268,2026-08-25 11:11:59,server,c3:00:00:13:3b:b7,ESP-03,124bc9ea-c8a5-4e13-a6fd-9c0315833345,EST-B2-R2,static,B2,Sala B,-67,Sala B,junto_porta,Sala B,True,Sala B,False,Sala B,False,False,Sala B,False,True,True,True
2026-08-25 11:12:03,2026-08-25 11:12:02,561,2239514506,2026-08-25 11:12:03,server,c3:00:00:13:3b:b7,ESP-01,198d1375-829a-4d81-b576-991cd6663527,EST-B2-R2,static,B2,Corredor,-91,Sala B,junto_porta,Corredor,True,Sala B,False,Sala B,False,False,Sala B,False,False,True,True
2026-08-25 11:12:07,2026-08-25 11:12:06,17,2441852059,2026-08-25 11:12:07,server,c3:00:00:13:3b:b7,ESP-02,0d539d18-c459-468c-b21f-e36e863cc25a,EST-B2-R2,static,B2,Sala A,-91,Sala B,junto_porta,Sala A,True,Sala B,False,Sala B,False,False,Sala B,False,False,True,True
2026-08-25 11:12:11,2026-08-25 11:12:11,614,1690126268,2026-08-25 11:12:11,server,c3:00:00:13:3b:b7,ESP-03,e175707f-e2ce-4cf8-a4e4-b38083c7c551,EST-B2-R2,static,B2,Sala B,-66,Sala B,junto_porta,Sala B,True,Sala B,False,Sala B,False,False,Sala B,False,True,True,True
2026-08-25 11:12:15,2026-08-25 11:12:14,562,2239514506,2026-08-25 11:12:15,server,c3:00:00:13:3b:b7,ESP-01,baebb434-f471-427b-896d-c4e3f1df1ea6,EST-B2-R2,static,B2,Corredor,-84,Sala B,junto_porta,Corredor,True,Sala B,False,Sala B,False,False,Sala B,False,False,True,True
2026-08-25 11:12:19,2026-08-25 11:12:18,18,2441852059,2026-08-25 11:12:19,server,c3:00:00:13:3b:b7,ESP-02,40082e6f-e50c-4060-8866-ad73e016880b,EST-B2-R2,static,B2,Sala A,-90,Sala B,junto_porta,Sala A,True,Sala B,False,Sala B,False,False,Sala B,False,False,True,True
2026-08-25 11:12:24,2026-08-25 11:12:23,615,1690126268,2026-08-25 11:12:24,server,c3:00:00:13:3b:b7,ESP-03,58d44d3b-f8bc-4259-8bf6-d3637ed66269,EST-B2-R2,static,B2,Sala B,-67,Sala B,junto_porta,Sala B,True,Sala B,False,Sala B,False,False,Sala B,False,True,True,True
2026-08-25 11:12:27,2026-08-25 11:12:26,563,2239514506,2026-08-25 11:12:27,server,c3:00:00:13:3b:b7,ESP-01,577fea32-a740-4e08-b64d-613b05b6bb6c,EST-B2-R2,static,B2,Corredor,-90,Sala B,junto_porta,Corredor,True,Sala B,False,Sala B,False,False,Sala B,False,False,True,True
2026-08-25 11:12:31,2026-08-25 11:12:30,19,2441852059,2026-08-25 11:12:31,server,c3:00:00:13:3b:b7,ESP-02,addbeae2-7193-4add-9389-9cb02938d7ee,EST-B2-R2,static,B2,Sala A,-84,Sala B,junto_porta,Sala A,True,Sala B,False,Sala B,False,False,Sala B,False,False,True,True
2026-08-25 11:12:37,2026-08-25 11:12:36,616,1690126268,2026-08-25 11:12:37,server,c3:00:00:13:3b:b7,ESP-03,34e3f64c-e42b-4be6-a8a7-cf23b687b430,EST-B2-R2,static,B2,Sala B,-79,Sala B,junto_porta,Sala B,True,Sala B,False,Sala B,False,False,Sala B,False,True,True,True
2026-08-25 11:12:39,2026-08-25 11:12:39,564,2239514506,2026-08-25 11:12:39,server,c3:00:00:13:3b:b7,ESP-01,60b499dc-3dce-4481-bf3d-bfe96969749e,EST-B2-R2,static,B2,Corredor,-87,Sala B,junto_porta,Corredor,True,Sala B,False,Sala B,False,False,Sala B,False,False,True,True
2026-08-25 11:12:43,2026-08-25 11:12:43,20,2441852059,2026-08-25 11:12:43,server,c3:00:00:13:3b:b7,ESP-02,4a70c4cc-9a20-4307-b840-d9b74eac502d,EST-B2-R2,static,B2,Sala A,-85,Sala B,junto_porta,Sala A,True,Sala B,False,Sala B,False,False,Sala B,False,False,True,True
