time,node_time,node_seq,boot_id,effective_time,clock_source,mac,esp_id,batch_id,experiment_id,trial_type,trial_position,raw_room,raw_rssi,ground_truth_room,ground_truth_scenario,baseline_room,baseline_changed,median_room,median_changed,median_hysteresis_room,median_hysteresis_changed,median_hysteresis_rejected,median_hysteresis_persistence_room,median_hysteresis_persistence_changed,baseline_agrees_with_final,median_agrees_with_final,median_hysteresis_agrees_with_final
2026-08-25 10:48:50,2026-08-25 10:48:49,450,2239514506,2026-08-25 10:48:50,server,c3:00:00:13:3b:b7,ESP-01,b50466ef-d04a-479c-9cf4-f903c20c0805,EST-C3-R5,static,C3,Corredor,-74,,,Corredor,True,Corredor,True,Corredor,True,False,,False,False,False,False
2026-08-25 10:48:51,2026-08-25 10:48:50,503,1690126268,2026-08-25 10:48:51,server,c3:00:00:13:3b:b7,ESP-03,536007f7-6c16-4bd7-b91b-15138165127d,EST-C3-R5,static,C3,Sala B,-67,Corredor,junto_porta,Sala B,True,Sala B,True,Sala B,True,False,,False,False,False,False
2026-08-25 10:48:57,2026-08-25 10:48:56,91,1239498715,2026-08-25 10:48:57,server,c3:00:00:13:3b:b7,ESP-02,edb945e1-6705-447b-850f-e7944a3d6359,EST-C3-R5,static,C3,Sala A,-100,Corredor,junto_porta,Sala A,True,Sala B,False,Sala B,False,False,,False,False,False,False
2026-08-25 10:49:02,2026-08-25 10:49:01,451,2239514506,2026-08-25 10:49:02,server,c3:00:00:13:3b:b7,ESP-01,a3ad9040-1070-4394-ad50-9a3c2e34dbd8,EST-C3-R5,static,C3,Corredor,-69,Corredor,junto_porta,Corredor,True,Sala B,False,Sala B,False,False,Sala B,True,False,True,True
2026-08-25 10:49:04,2026-08-25 10:49:03,504,1690126268,2026-08-25 10:49:04,server,c3:00:00:13:3b:b7,ESP-03,ab33e264-02e3-4efb-b3a7-8ef547d33f88,EST-C3-R5,static,C3,Sala B,-69,Corredor,junto_porta,Sala B,True,Sala B,False,Sala B,False,False,Sala B,False,True,True,True
2026-08-25 10:49:09,2026-08-25 10:49:08,92,1239498715,2026-08-25 10:49:09,server,c3:00:00:13:3b:b7,ESP-02,cd77db19-70c3-48ef-88de-5627b07376f7,EST-C3-R5,static,C3,Sala A,-92,Corredor,junto_porta,Sala A,True,Sala B,False,Sala B,False,False,Sala B,False,False,True,True
2026-08-25 10:49:15,2026-08-25 10:49:14,452,2239514506,2026-08-25 10:49:15,server,c3:00:00:13:3b:b7,ESP-01,03724ed6-aafa-47f9-b9b7-52a88a293f78,EST-C3-R5,static,C3,Corredor,-75,Corredor,junto_porta,Corredor,True,Sala B,False,Sala B,False,False,Sala B,False,False,True,True
2026-08-25 10:49:16,2026-08-25 10:49:15,505,1690126268,2026-08-25 10:49:16,server,c3:00:00:13:3b:b7,ESP-03,78509ec4-9a0b-4db7-bde8-a28816022aad,EST-C3-R5,static,C3,Sala B,-68,Corredor,junto_porta,Sala B,True,Sala B,False,Sala B,False,False,Sala B,False,True,True,True
2026-08-25 10:49:21,2026-08-25 10:49:20,93,1239498715,2026-08-25 10:49:21,server,c3:00:00:13:3b:b7,ESP-02,6b39af39-4ba2-43e8-ab34-186dffe6ecd3,EST-C3-R5,static,C3,Sala A,-94,Corredor,junto_porta,Sala A,True,Sala B,False,Sala B,False,False,Sala B,False,False,True,True
2026-08-25 10:49:27,2026-08-25 10:49:27,453,2239514506,2026-08-25 10:49:27,server,c3:00:00:13:3b:b7,ESP-01,58bf0c2e-7ca2-4354-af8a-f36f702d5b0b,EST-C3-R5,static,C3,Corredor,-72,Corredor,junto_porta,Corredor,True,Sala B,False,Sala B,False,False,Sala B,False,False,True,True
2026-08-25 10:49:29,2026-08-25 10:49:28,506,1690126268,2026-08-25 10:49:29,server,c3:00:00:13:3b:b7,ESP-03,37e720fd-e9d2-48fb-9e57-b20cdadc04cb,EST-C3-R5,static,C3,Sala B,-67,Corredor,junto_porta,Sala B,True,Sala B,False,Sala B,False,False,Sala B,False,True,True,True
2026-08-25 10:49:33,2026-08-25 10:49:33,94,1239498715,2026-08-25 10:49:33,server,c3:00:00:13:3b:b7,ESP-02,fd47e9d0-9ff6-4617-b829-c75187f54436,EST-C3-R5,static,C3,Sala A,-99,Corredor,junto_porta,Sala A,True,Sala B,False,Sala B,False,False,Sala B,False,False,True,True
2026-08-25 10:49:40,2026-08-25 10:49:39,454,2239514506,2026-08-25 10:49:40,server,c3:00:00:13:3b:b7,ESP-01,b434f057-b9f0-4df0-b73f-31dc27fc700b,EST-C3-R5,static,C3,Corredor,-72,Corredor,junto_porta,Corredor,True,Sala B,False,Sala B,False,False,Sala B,False,False,True,True
2026-08-25 10:49:41,2026-08-25 10:49:40,507,1690126268,2026-08-25 10:49:41,server,c3:00:00:13:3b:b7,ESP-03,d5e37581-31d6-4090-8a8e-6d64fad31632,EST-C3-R5,static,C3,Sala B,-67,Corredor,junto_porta,Sala B,True,Sala B,False,Sala B,False,False,Sala B,False,True,True,True
