time,node_time,node_seq,boot_id,effective_time,clock_source,mac,esp_id,batch_id,experiment_id,trial_type,trial_position,raw_room,raw_rssi,ground_truth_room,ground_truth_scenario,baseline_room,baseline_changed,median_room,median_changed,median_hysteresis_room,median_hysteresis_changed,median_hysteresis_rejected,median_hysteresis_persistence_room,median_hysteresis_persistence_changed,baseline_agrees_with_final,median_agrees_with_final,median_hysteresis_agrees_with_final
2026-08-25 10:09:32,2026-08-25 10:09:31,222,3069185015,2026-08-25 10:09:32,server,c3:00:00:13:3b:b7,ESP-02,bb03ba8a-cbc6-4fdc-84da-8e26b5067621,EST-P1-R3,static,P1,Sala A,-69,,,Sala A,True,Sala A,True,Sala A,True,False,,False,False,False,False
2026-08-25 10:09:34,2026-08-25 10:09:33,315,1690126268,2026-08-25 10:09:34,server,c3:00:00:13:3b:b7,ESP-03,719fe5fc-4a8d-4368-a7cf-9773cfb9ed9f,EST-P1-R3,static,P1,Sala B,-86,,,Sala B,True,Sala A,False,Sala A,False,False,,False,False,False,False
2026-08-25 10:09:43,2026-08-25 10:09:43,264,2239514506,2026-08-25 10:09:43,server,c3:00:00:13:3b:b7,ESP-01,62c88b36-ff45-441e-b244-60ff363c1128,EST-P1-R3,static,P1,Corredor,-63,,,Corredor,True,Corredor,True,Corredor,True,False,,False,False,False,False
2026-08-25 10:09:44,2026-08-25 10:09:44,223,3069185015,2026-08-25 10:09:44,server,c3:00:00:13:3b:b7,ESP-02,502bf6aa-5ce5-4fa6-ab9b-324098347a70,EST-P1-R3,static,P1,Sala A,-68,,,Sala A,True,Corredor,False,Corredor,False,False,,False,False,False,False
2026-08-25 10:09:46,2026-08-25 10:09:46,316,1690126268,2026-08-25 10:09:46,server,c3:00:00:13:3b:b7,ESP-03,e804b534-d059-4692-8ce8-74266889dbd9,EST-P1-R3,static,P1,Sala B,-89,,,Sala B,True,Corredor,False,Corredor,False,False,Corredor,True,False,True,True
2026-08-25 10:09:56,2026-08-25 10:09:55,265,2239514506,2026-08-25 10:09:56,server,c3:00:00:13:3b:b7,ESP-01,27e541f1-b49d-48a2-993d-7e6572b35684,EST-P1-R3,static,P1,Corredor,-60,,,Corredor,True,Corredor,False,Corredor,False,False,Corredor,False,True,True,True
2026-08-25 10:09:57,2026-08-25 10:09:56,224,3069185015,2026-08-25 10:09:57,server,c3:00:00:13:3b:b7,ESP-02,3dad62cf-0142-4371-b536-53338acc05a8,EST-P1-R3,static,P1,Sala A,-66,,,Sala A,True,Corredor,False,Corredor,False,False,Corredor,False,False,True,True
2026-08-25 10:09:59,2026-08-25 10:09:58,317,1690126268,2026-08-25 10:09:59,server,c3:00:00:13:3b:b7,ESP-03,d238a513-988a-4ff7-ae28-99b025c9cad6,EST-P1-R3,static,P1,Sala B,-87,,,Sala B,True,Corredor,False,Corredor,False,False,Corredor,False,False,True,True
2026-08-25 10:10:08,2026-08-25 10:10:08,266,2239514506,2026-08-25 10:10:08,server,c3:00:00:13:3b:b7,ESP-01,0a601a75-5380-4d2b-a372-27851fe3d922,EST-P1-R3,static,P1,Corredor,-63,,,Corredor,True,Corredor,False,Corredor,False,False,Corredor,False,True,True,True
2026-08-25 10:10:09,2026-08-25 10:10:08,225,3069185015,2026-08-25 10:10:09,server,c3:00:00:13:3b:b7,ESP-02,456e393c-25a0-41ed-9cf0-0e72dc6823b6,EST-P1-R3,static,P1,Sala A,-68,,,Sala A,True,Corredor,False,Corredor,False,False,Corredor,False,False,True,True
