time,node_time,node_seq,boot_id,effective_time,clock_source,mac,esp_id,batch_id,experiment_id,trial_type,trial_position,raw_room,raw_rssi,ground_truth_room,ground_truth_scenario,baseline_room,baseline_changed,median_room,median_changed,median_hysteresis_room,median_hysteresis_changed,median_hysteresis_rejected,median_hysteresis_candidate_room,median_hysteresis_candidate_rssi,median_hysteresis_current_room_rssi,median_hysteresis_difference_db,median_hysteresis_persistence_room,median_hysteresis_persistence_changed,baseline_agrees_with_final,median_agrees_with_final,median_hysteresis_agrees_with_final
2026-08-27 10:29:47,2026-08-27 10:29:45,1455,2780215821,2026-08-27 10:29:47,server,c3:00:00:13:3b:b7,ESP-03,2d9d465b-4867-43c1-a637-b1d0fcbfbe9f,EST2-B1-R3,static,B1,Sala B,-53,,,Sala B,True,Sala B,True,Sala B,True,False,Sala B,-53.0,,,,False,False,False,False
2026-08-27 10:29:50,2026-08-27 10:29:48,1311,2803322551,2026-08-27 10:29:50,server,c3:00:00:13:3b:b7,ESP-01,349510d8-7ebc-4570-925a-5080d86ea11f,EST2-B1-R3,static,B1,Corredor,-71,Sala B,centro_sala,Corredor,True,Sala B,False,Sala B,False,False,Sala B,-53.0,-53.0,,Sala B,True,False,True,True
2026-08-27 10:29:51,2026-08-27 10:29:45,204,49404702,2026-08-27 10:29:51,server,c3:00:00:13:3b:b7,ESP-02,8d34dbd2-0d3b-4cbd-94a0-a81bd98f5c21,EST2-B1-R3,static,B1,Sala A,-89,Sala B,centro_sala,Sala A,True,Corredor,True,Corredor,True,False,Corredor,-71.0,,,Sala B,False,False,False,False
2026-08-27 10:29:51,2026-08-27 10:29:49,1456,2780215821,2026-08-27 10:29:51,server,c3:00:00:13:3b:b7,ESP-03,51edb5eb-6b93-40b1-953d-0abc835bcdd8,EST2-B1-R3,static,B1,Sala B,-67,Sala B,centro_sala,Sala B,True,Sala B,True,Corredor,False,True,Sala B,-67.0,-71.0,4.0,Corredor,True,False,False,True
2026-08-27 10:29:54,2026-08-27 10:29:52,1312,2803322551,2026-08-27 10:29:54,server,c3:00:00:13:3b:b7,ESP-01,7ff7639e-d75a-4f25-9003-1781c2723b4c,EST2-B1-R3,static,B1,Corredor,-71,Sala B,centro_sala,Corredor,True,Sala B,False,Corredor,False,True,Sala B,-67.0,-71.0,4.0,Corredor,False,True,False,True
2026-08-27 10:29:54,2026-08-27 10:29:52,1457,2780215821,2026-08-27 10:29:54,server,c3:00:00:13:3b:b7,ESP-03,d85863e2-e401-424d-9f33-66ebceab2344,EST2-B1-R3,static,B1,Sala B,-67,Sala B,centro_sala,Sala B,True,Sala B,False,Corredor,False,True,Sala B,-67.0,-71.0,4.0,Corredor,False,False,False,True
2026-08-27 10:29:55,2026-08-27 10:29:52,205,49404702,2026-08-27 10:29:55,server,c3:00:00:13:3b:b7,ESP-02,b23e0788-d236-45f2-8349-333fa25071c5,EST2-B1-R3,static,B1,Sala A,-82,Sala B,centro_sala,Sala A,True,Sala B,False,Corredor,False,True,Sala B,-67.0,-71.0,4.0,Corredor,False,False,False,True
2026-08-27 10:29:58,2026-08-27 10:29:55,1313,2803322551,2026-08-27 10:29:58,server,c3:00:00:13:3b:b7,ESP-01,c2dbdc37-96ce-4224-a532-c6a43ab16337,EST2-B1-R3,static,B1,Corredor,-72,Sala B,centro_sala,Corredor,True,Corredor,True,Corredor,False,False,Corredor,-72.0,-72.0,,Corredor,False,True,True,True
2026-08-27 10:29:58,2026-08-27 10:29:56,1458,2780215821,2026-08-27 10:29:58,server,c3:00:00:13:3b:b7,ESP-03,873a6965-92de-42f5-b83c-58885df285f7,EST2-B1-R3,static,B1,Sala B,-54,Sala B,centro_sala,Sala B,True,Sala B,True,Sala B,True,False,Sala B,-54.0,-72.0,18.0,Corredor,False,False,False,False
2026-08-27 10:30:01,2026-08-27 10:29:59,1314,2803322551,2026-08-27 10:30:01,server,c3:00:00:13:3b:b7,ESP-01,3c6e22c9-1bf0-47b7-846c-20565be4ab79,EST2-B1-R3,static,B1,Corredor,-68,Sala B,centro_sala,Corredor,True,Sala B,False,Sala B,False,False,Sala B,-54.0,-54.0,,Sala B,True,False,True,True
2026-08-27 10:30:01,2026-08-27 10:29:57,206,49404702,2026-08-27 10:30:01,server,c3:00:00:13:3b:b7,ESP-02,39629849-6fb4-48d9-ab84-c03450d40d0a,EST2-B1-R3,static,B1,Sala A,-82,Sala B,centro_sala,Sala A,True,Sala B,False,Sala B,False,False,Sala B,-54.0,-54.0,,Sala B,False,False,True,True
2026-08-27 10:30:02,2026-08-27 10:30:00,1459,2780215821,2026-08-27 10:30:02,server,c3:00:00:13:3b:b7,ESP-03,e54ff8c3-8efb-493d-9722-172c3fefc8e7,EST2-B1-R3,static,B1,Sala B,-53,Sala B,centro_sala,Sala B,True,Sala B,False,Sala B,False,False,Sala B,-53.0,-53.0,,Sala B,False,True,True,True
2026-08-27 10:30:05,2026-08-27 10:30:03,1315,2803322551,2026-08-27 10:30:05,server,c3:00:00:13:3b:b7,ESP-01,4b332126-1798-4b2c-8634-494b29422c97,EST2-B1-R3,static,B1,Corredor,-71,Sala B,centro_sala,Corredor,True,Sala B,False,Sala B,False,False,Sala B,-53.0,-53.0,,Sala B,False,False,True,True
2026-08-27 10:30:05,2026-08-27 10:30:03,207,49404702,2026-08-27 10:30:05,server,c3:00:00:13:3b:b7,ESP-02,b8f4ad08-bd6a-4b91-ae2c-e5001e449e4c,EST2-B1-R3,static,B1,Sala A,-82,Sala B,centro_sala,Sala A,True,Sala B,False,Sala B,False,False,Sala B,-53.0,-53.0,,Sala B,False,False,True,True
2026-08-27 10:30:05,2026-08-27 10:30:03,1460,2780215821,2026-08-27 10:30:05,server,c3:00:00:13:3b:b7,ESP-03,cb5a0d1f-e017-411a-8f3a-d318e9844bfe,EST2-B1-R3,static,B1,Sala B,-61,Sala B,centro_sala,Sala B,True,Sala B,False,Sala B,False,False,Sala B,-57.0,-57.0,,Sala B,False,True,True,True
2026-08-27 10:30:09,2026-08-27 10:30:06,1316,2803322551,2026-08-27 10:30:09,server,c3:00:00:13:3b:b7,ESP-01,419c1341-504e-44c4-9f97-0d8699d4ac8c,EST2-B1-R3,static,B1,Corredor,-67,Sala B,centro_sala,Corredor,True,Corredor,True,Corredor,True,False,Corredor,-67.0,,,Sala B,False,False,False,False
2026-08-27 10:30:09,2026-08-27 10:30:07,1461,2780215821,2026-08-27 10:30:09,server,c3:00:00:13:3b:b7,ESP-03,3b7a2db2-d4b5-4468-9db4-8a7ed9023b95,EST2-B1-R3,static,B1,Sala B,-67,Sala B,centro_sala,Sala B,True,Corredor,False,Corredor,False,False,Corredor,-67.0,-67.0,,Corredor,True,False,True,True
2026-08-27 10:30:12,2026-08-27 10:30:06,208,49404702,2026-08-27 10:30:12,server,c3:00:00:13:3b:b7,ESP-02,f719a4ed-fb5b-4215-b3e7-8c8a33d08921,EST2-B1-R3,static,B1,Sala A,-88,Sala B,centro_sala,Sala A,True,Corredor,False,Corredor,False,False,Corredor,-67.0,-67.0,,Corredor,False,False,True,True
2026-08-27 10:30:12,2026-08-27 10:30:10,1317,2803322551,2026-08-27 10:30:12,server,c3:00:00:13:3b:b7,ESP-01,2562130a-9f0c-4b45-86c3-3fa4a45ce280,EST2-B1-R3,static,B1,Corredor,-75,Sala B,centro_sala,Corredor,True,Sala B,True,Corredor,False,True,Sala B,-67.0,-71.0,4.0,Corredor,False,True,False,True
2026-08-27 10:30:12,2026-08-27 10:30:10,1462,2780215821,2026-08-27 10:30:12,server,c3:00:00:13:3b:b7,ESP-03,df632ef0-0e47-41cc-8c28-e73bd337c244,EST2-B1-R3,static,B1,Sala B,-67,Sala B,centro_sala,Sala B,True,Sala B,False,Corredor,False,True,Sala B,-67.0,-71.0,4.0,Corredor,False,False,False,True
