mac,method,real_room,estimated_room,count
c3:00:00:13:3b:b7,baseline,Sala B,Corredor,19
c3:00:00:13:3b:b7,baseline,Sala B,Sala A,12
c3:00:00:13:3b:b7,baseline,Sala B,Sala B,19
c3:00:00:13:3b:b7,median,Sala B,Corredor,2
c3:00:00:13:3b:b7,median,Sala B,Sala A,1
c3:00:00:13:3b:b7,median,Sala B,Sala B,47
c3:00:00:13:3b:b7,median_hysteresis,Sala B,Corredor,2
c3:00:00:13:3b:b7,median_hysteresis,Sala B,Sala A,1
c3:00:00:13:3b:b7,median_hysteresis,Sala B,Sala B,47
c3:00:00:13:3b:b7,median_hysteresis_persistence,Sala B,Sala B,48
c3:00:00:13:3b:b7,median_hysteresis_persistence,Sala B,desconhecida,2
