time,node_time,node_seq,boot_id,effective_time,clock_source,mac,esp_id,batch_id,experiment_id,trial_type,trial_position,raw_room,raw_rssi,ground_truth_room,ground_truth_scenario,baseline_room,baseline_changed,median_room,median_changed,median_hysteresis_room,median_hysteresis_changed,median_hysteresis_rejected,median_hysteresis_candidate_room,median_hysteresis_candidate_rssi,median_hysteresis_current_room_rssi,median_hysteresis_difference_db,median_hysteresis_persistence_room,median_hysteresis_persistence_changed,baseline_agrees_with_final,median_agrees_with_final,median_hysteresis_agrees_with_final
2026-08-27 09:51:11,2026-08-27 09:51:09,820,2780215821,2026-08-27 09:51:11,server,c3:00:00:13:3b:b7,ESP-03,f4d75e6d-1507-4d49-870e-c4f6785e030e,EST2-P1-R5,static,P1,Sala B,-83,,,Sala B,True,Sala B,True,Sala B,True,False,Sala B,-83.0,,,,False,False,False,False
2026-08-27 09:51:11,2026-08-27 09:51:09,679,2803322551,2026-08-27 09:51:11,server,c3:00:00:13:3b:b7,ESP-01,065e56d4-6697-442d-9d62-1b1fd9ae7cf7,EST2-P1-R5,static,P1,Corredor,-48,,,Corredor,True,Corredor,True,Corredor,True,False,Corredor,-48.0,-83.0,35.0,,False,False,False,False
2026-08-27 09:51:14,2026-08-27 09:51:12,28,2230484143,2026-08-27 09:51:14,server,c3:00:00:13:3b:b7,ESP-02,dac5e53c-328e-462a-b11d-b922e60a0393,EST2-P1-R5,static,P1,Sala A,-65,,,Sala A,True,Corredor,False,Corredor,False,False,Corredor,-48.0,-48.0,,Corredor,True,False,True,True
2026-08-27 09:51:15,2026-08-27 09:51:13,680,2803322551,2026-08-27 09:51:15,server,c3:00:00:13:3b:b7,ESP-01,a1e6e590-d1bd-48fe-adf6-30e97415b678,EST2-P1-R5,static,P1,Corredor,-52,,,Corredor,True,Corredor,False,Corredor,False,False,Corredor,-52.0,-52.0,,Corredor,False,True,True,True
2026-08-27 09:51:18,2026-08-27 09:51:16,29,2230484143,2026-08-27 09:51:18,server,c3:00:00:13:3b:b7,ESP-02,1d245a36-95f9-4326-baec-e34ce7310ca0,EST2-P1-R5,static,P1,Sala A,-65,,,Sala A,True,Corredor,False,Corredor,False,False,Corredor,-52.0,-52.0,,Corredor,False,False,True,True
2026-08-27 09:51:18,2026-08-27 09:51:13,821,2780215821,2026-08-27 09:51:18,server,c3:00:00:13:3b:b7,ESP-03,ba3d4ba5-f625-44c8-b350-de87fe31248a,EST2-P1-R5,static,P1,Sala B,-83,,,Sala B,True,Corredor,False,Corredor,False,False,Corredor,-52.0,-52.0,,Corredor,False,False,True,True
2026-08-27 09:51:19,2026-08-27 09:51:17,681,2803322551,2026-08-27 09:51:19,server,c3:00:00:13:3b:b7,ESP-01,5587dcb8-f90a-4c2f-9763-839ca38418a9,EST2-P1-R5,static,P1,Corredor,-50,,,Corredor,True,Corredor,False,Corredor,False,False,Corredor,-50.0,-50.0,,Corredor,False,True,True,True
2026-08-27 09:51:21,2026-08-27 09:51:19,822,2780215821,2026-08-27 09:51:21,server,c3:00:00:13:3b:b7,ESP-03,a10601ea-d3c9-43ca-8124-1fd2ba9aeea0,EST2-P1-R5,static,P1,Sala B,-85,,,Sala B,True,Corredor,False,Corredor,False,False,Corredor,-50.0,-50.0,,Corredor,False,False,True,True
2026-08-27 09:51:21,2026-08-27 09:51:19,30,2230484143,2026-08-27 09:51:21,server,c3:00:00:13:3b:b7,ESP-02,d9b7033f-6917-4fed-acf5-2396def87385,EST2-P1-R5,static,P1,Sala A,-66,,,Sala A,True,Corredor,False,Corredor,False,False,Corredor,-50.0,-50.0,,Corredor,False,False,True,True
2026-08-27 09:51:22,2026-08-27 09:51:20,682,2803322551,2026-08-27 09:51:22,server,c3:00:00:13:3b:b7,ESP-01,5bd71458-fd8b-4069-819f-6d02ed991d71,EST2-P1-R5,static,P1,Corredor,-66,,,Corredor,True,Corredor,False,Corredor,False,False,Corredor,-58.0,-58.0,,Corredor,False,True,True,True
