time,node_time,node_seq,boot_id,effective_time,clock_source,mac,esp_id,batch_id,experiment_id,trial_type,trial_position,raw_room,raw_rssi,ground_truth_room,ground_truth_scenario,baseline_room,baseline_changed,median_room,median_changed,median_hysteresis_room,median_hysteresis_changed,median_hysteresis_rejected,median_hysteresis_persistence_room,median_hysteresis_persistence_changed,baseline_agrees_with_final,median_agrees_with_final,median_hysteresis_agrees_with_final
2026-08-25 12:46:15,2026-08-25 12:46:10,392,1151497274,2026-08-25 12:46:15,server,c3:00:00:13:3b:b7,ESP-02,a4c1cf36-f720-4fe7-b083-c55fe6dbdf9c,DIN-AB-R1,dynamic,AB,Sala A,-72,,,Sala A,True,Sala A,True,Sala A,True,False,,False,False,False,False
2026-08-25 12:46:17,2026-08-25 12:46:16,1082,1690126268,2026-08-25 12:46:17,server,c3:00:00:13:3b:b7,ESP-03,370f0298-0319-4e6e-ae4f-0b09f210608a,DIN-AB-R1,dynamic,AB,Sala B,-83,,,Sala B,True,Sala A,False,Sala A,False,False,,False,False,False,False
2026-08-25 12:46:24,2026-08-25 12:46:23,1033,2239514506,2026-08-25 12:46:24,server,c3:00:00:13:3b:b7,ESP-01,d19900ee-982a-4aba-a447-139bee1d1e0d,DIN-AB-R1,dynamic,AB,Corredor,-87,,,Corredor,True,Sala A,False,Sala A,False,False,Sala A,True,False,True,True
2026-08-25 12:46:29,2026-08-25 12:46:28,1083,1690126268,2026-08-25 12:46:29,server,c3:00:00:13:3b:b7,ESP-03,3e703e5d-892d-4cc1-bd3f-e8af8321f301,DIN-AB-R1,dynamic,AB,Sala B,-82,,,Sala B,True,Sala A,False,Sala A,False,False,Sala A,False,False,True,True
2026-08-25 12:46:30,2026-08-25 12:46:26,393,1151497274,2026-08-25 12:46:30,server,c3:00:00:13:3b:b7,ESP-02,1ba2cdfd-4c58-4ffa-8423-25ea8588f97b,DIN-AB-R1,dynamic,AB,Sala A,-76,,,Sala A,True,Sala A,False,Sala A,False,False,Sala A,False,True,True,True
2026-08-25 12:46:48,2026-08-25 12:46:48,1035,2239514506,2026-08-25 12:46:48,server,c3:00:00:13:3b:b7,ESP-01,3d8a0ec3-177a-4c75-aebc-a32312367a1c,DIN-AB-R1,dynamic,AB,Corredor,-76,Sala A,movimento,Corredor,True,Sala A,False,Sala A,False,False,Sala A,False,False,True,True
2026-08-25 12:46:54,2026-08-25 12:46:53,1085,1690126268,2026-08-25 12:46:54,server,c3:00:00:13:3b:b7,ESP-03,4036fb11-8fb9-4e0c-a7c7-0707fd079d06,DIN-AB-R1,dynamic,AB,Sala B,-99,Sala A,movimento,Sala B,True,Sala A,False,Sala A,False,False,Sala A,False,False,True,True
2026-08-25 12:47:01,2026-08-25 12:47:00,1036,2239514506,2026-08-25 12:47:01,server,c3:00:00:13:3b:b7,ESP-01,64c47e27-c461-48a9-bb44-7cd82f7cc49a,DIN-AB-R1,dynamic,AB,Corredor,-86,Sala A,movimento,Corredor,True,Sala A,False,Sala A,False,False,Sala A,False,False,True,True
2026-08-25 12:47:06,2026-08-25 12:47:05,1086,1690126268,2026-08-25 12:47:06,server,c3:00:00:13:3b:b7,ESP-03,091f1589-e2b2-4fab-9465-5ed5f6eccce0,DIN-AB-R1,dynamic,AB,Sala B,-85,Corredor,movimento,Sala B,True,Sala A,False,Sala A,False,False,Sala A,False,False,True,True
2026-08-25 12:47:07,2026-08-25 12:47:05,396,1151497274,2026-08-25 12:47:07,server,c3:00:00:13:3b:b7,ESP-02,a9e3f4c9-25b0-4e7e-9d82-d3e3db4efa6f,DIN-AB-R1,dynamic,AB,Sala A,-50,Corredor,movimento,Sala A,True,Sala A,False,Sala A,False,False,Sala A,False,True,True,True
2026-08-25 12:47:13,2026-08-25 12:47:12,1037,2239514506,2026-08-25 12:47:13,server,c3:00:00:13:3b:b7,ESP-01,d4162deb-f115-461f-9ffc-7d0e2d2e044b,DIN-AB-R1,dynamic,AB,Corredor,-47,Corredor,movimento,Corredor,True,Sala A,False,Sala A,False,False,Sala A,False,False,True,True
2026-08-25 12:47:18,2026-08-25 12:47:17,1087,1690126268,2026-08-25 12:47:18,server,c3:00:00:13:3b:b7,ESP-03,87d75573-aed7-4298-a3d6-3db799cb1cd2,DIN-AB-R1,dynamic,AB,Sala B,-67,Sala B,movimento,Sala B,True,Sala A,False,Sala A,False,False,Sala A,False,False,True,True
2026-08-25 12:47:19,2026-08-25 12:47:18,397,1151497274,2026-08-25 12:47:19,server,c3:00:00:13:3b:b7,ESP-02,01d22895-9fbb-41a1-9553-f230b9c8b1c6,DIN-AB-R1,dynamic,AB,Sala A,-88,Sala B,movimento,Sala A,True,Corredor,True,Sala A,False,True,Sala A,False,True,False,True
2026-08-25 13:08:51,2026-08-25 13:08:51,1190,1690126268,2026-08-25 13:08:51,server,c3:00:00:13:3b:b7,ESP-03,c2f81693-07e8-43a6-9dc1-836a15b66932,DIN-AB-R10,dynamic,AB,Sala B,-90,Sala A,movimento,Sala B,True,Sala B,True,Sala B,True,False,,False,False,False,False
2026-08-25 13:08:53,2026-08-25 13:08:52,1141,2239514506,2026-08-25 13:08:53,server,c3:00:00:13:3b:b7,ESP-01,5f9d41ae-58d7-4759-9091-429f5d8f2319,DIN-AB-R10,dynamic,AB,Corredor,-89,Sala A,movimento,Corredor,True,Corredor,True,Sala B,False,True,,False,False,False,False
2026-08-25 13:08:55,2026-08-25 13:08:54,3,3224482206,2026-08-25 13:08:55,server,c3:00:00:13:3b:b7,ESP-02,3b7b6a15-e4d6-4861-9d26-bbccf1103281,DIN-AB-R10,dynamic,AB,Sala A,-56,Sala A,movimento,Sala A,True,Sala A,True,Sala A,True,False,,False,False,False,False
2026-08-25 13:09:04,2026-08-25 13:09:03,1191,1690126268,2026-08-25 13:09:04,server,c3:00:00:13:3b:b7,ESP-03,1f4ccafa-b5c3-42ea-b27a-9d8456257a97,DIN-AB-R10,dynamic,AB,Sala B,-85,Sala A,movimento,Sala B,True,Sala A,False,Sala A,False,False,,False,False,False,False
2026-08-25 13:09:05,2026-08-25 13:09:04,1142,2239514506,2026-08-25 13:09:05,server,c3:00:00:13:3b:b7,ESP-01,8d5cef7b-62e9-430f-a9a3-0950fc335273,DIN-AB-R10,dynamic,AB,Corredor,-77,Sala A,movimento,Corredor,True,Sala A,False,Sala A,False,False,Sala A,True,False,True,True
2026-08-25 13:09:08,2026-08-25 13:09:07,4,3224482206,2026-08-25 13:09:08,server,c3:00:00:13:3b:b7,ESP-02,d5b35cc0-69bb-4a91-88c8-d3485baee656,DIN-AB-R10,dynamic,AB,Sala A,-57,Corredor,movimento,Sala A,True,Sala A,False,Sala A,False,False,Sala A,False,True,True,True
2026-08-25 13:09:16,2026-08-25 13:09:15,1192,1690126268,2026-08-25 13:09:16,server,c3:00:00:13:3b:b7,ESP-03,1b45e3bb-7922-431e-b8b6-0f4916968265,DIN-AB-R10,dynamic,AB,Sala B,-75,Sala B,movimento,Sala B,True,Sala A,False,Sala A,False,False,Sala A,False,False,True,True
2026-08-25 13:09:17,2026-08-25 13:09:16,1143,2239514506,2026-08-25 13:09:17,server,c3:00:00:13:3b:b7,ESP-01,33625b11-0b7f-472a-ae53-de90766ab281,DIN-AB-R10,dynamic,AB,Corredor,-76,Sala B,movimento,Corredor,True,Sala A,False,Sala A,False,False,Sala A,False,False,True,True
2026-08-25 13:09:20,2026-08-25 13:09:19,5,3224482206,2026-08-25 13:09:20,server,c3:00:00:13:3b:b7,ESP-02,ede1af2c-cacf-40ae-af0d-b0b8d167ea4a,DIN-AB-R10,dynamic,AB,Sala A,-91,Sala B,movimento,Sala A,True,Sala A,False,Sala A,False,False,Sala A,False,True,True,True
2026-08-25 12:48:45,2026-08-25 12:48:44,1094,1690126268,2026-08-25 12:48:45,server,c3:00:00:13:3b:b7,ESP-03,5102ff6f-fbc1-451f-8f16-2e74a9781a67,DIN-AB-R2,dynamic,AB,Sala B,-90,Sala A,movimento,Sala B,True,Sala B,True,Sala B,True,False,,False,False,False,False
2026-08-25 12:48:48,2026-08-25 12:48:45,404,1151497274,2026-08-25 12:48:48,server,c3:00:00:13:3b:b7,ESP-02,947ae5f2-042c-4a93-b6d3-58214eb99ce6,DIN-AB-R2,dynamic,AB,Sala A,-61,Sala A,movimento,Sala A,True,Sala A,True,Sala A,True,False,,False,False,False,False
2026-08-25 12:48:52,2026-08-25 12:48:51,1045,2239514506,2026-08-25 12:48:52,server,c3:00:00:13:3b:b7,ESP-01,c32af841-6293-4fa8-b193-ba4ea261cf94,DIN-AB-R2,dynamic,AB,Corredor,-81,Sala A,movimento,Corredor,True,Sala A,False,Sala A,False,False,,False,False,False,False
