time,node_time,node_seq,boot_id,effective_time,clock_source,mac,esp_id,batch_id,experiment_id,trial_type,trial_position,raw_room,raw_rssi,ground_truth_room,ground_truth_scenario,baseline_room,baseline_changed,median_room,median_changed,median_hysteresis_room,median_hysteresis_changed,median_hysteresis_rejected,median_hysteresis_candidate_room,median_hysteresis_candidate_rssi,median_hysteresis_current_room_rssi,median_hysteresis_difference_db,median_hysteresis_persistence_room,median_hysteresis_persistence_changed,baseline_agrees_with_final,median_agrees_with_final,median_hysteresis_agrees_with_final
2026-08-26 15:33:16,2026-08-26 15:33:15,24,1242899341,2026-08-26 15:33:16,server,c3:00:00:13:3b:b7,ESP-03,c2fc1929-bec0-4633-bd6e-8298c5920c98,DIN2–AB-R5,,,Sala B,-87,Sala A,movimento,Sala B,True,Sala B,True,Sala B,True,False,Sala B,-87.0,,,,False,False,False,False
2026-08-26 15:33:16,2026-08-26 15:33:15,13,998155149,2026-08-26 15:33:16,server,c3:00:00:13:3b:b7,ESP-01,581adb95-7d15-42e0-a5ae-c4fb22a49639,DIN2–AB-R5,,,Corredor,-85,Sala A,movimento,Corredor,True,Corredor,True,Sala B,False,True,Corredor,-85.0,-87.0,2.0,Sala B,True,False,False,True
2026-08-26 15:33:17,2026-08-26 15:33:16,44,3242572198,2026-08-26 15:33:17,server,c3:00:00:13:3b:b7,ESP-02,54518f49-c1c5-416c-8a8d-889018d8bcaf,DIN2–AB-R5,,,Sala A,-51,Sala A,movimento,Sala A,True,Sala A,True,Sala A,True,False,Sala A,-51.0,-87.0,36.0,Sala B,False,False,False,False
2026-08-26 15:33:20,2026-08-26 15:33:19,25,1242899341,2026-08-26 15:33:20,server,c3:00:00:13:3b:b7,ESP-03,74038c89-0350-4dd1-bee3-99670809161a,DIN2–AB-R5,,,Sala B,-84,Sala A,movimento,Sala B,True,Sala A,False,Sala A,False,False,Sala A,-51.0,-51.0,,Sala A,True,False,True,True
2026-08-26 15:33:20,2026-08-26 15:33:19,14,998155149,2026-08-26 15:33:20,server,c3:00:00:13:3b:b7,ESP-01,b6c6dc55-6a2a-4320-8518-293334387b20,DIN2–AB-R5,,,Corredor,-69,Sala A,movimento,Corredor,True,Sala A,False,Sala A,False,False,Sala A,-51.0,-51.0,,Sala A,False,False,True,True
2026-08-26 15:33:21,2026-08-26 15:33:20,45,3242572198,2026-08-26 15:33:21,server,c3:00:00:13:3b:b7,ESP-02,95f5d19c-b892-40d4-bb10-71b97a626ca8,DIN2–AB-R5,,,Sala A,-49,Sala A,movimento,Sala A,True,Sala A,False,Sala A,False,False,Sala A,-49.0,-49.0,,Sala A,False,True,True,True
2026-08-26 15:33:23,2026-08-26 15:33:22,26,1242899341,2026-08-26 15:33:23,server,c3:00:00:13:3b:b7,ESP-03,ba629c76-fc11-437b-b293-240789002b43,DIN2–AB-R5,,,Sala B,-100,Sala A,movimento,Sala B,True,Sala A,False,Sala A,False,False,Sala A,-49.0,-49.0,,Sala A,False,False,True,True
2026-08-26 15:33:24,2026-08-26 15:33:23,15,998155149,2026-08-26 15:33:24,server,c3:00:00:13:3b:b7,ESP-01,f80d0aae-4449-4c4b-a1d0-7324eb0eb90d,DIN2–AB-R5,,,Corredor,-90,Sala A,movimento,Corredor,True,Sala A,False,Sala A,False,False,Sala A,-49.0,-49.0,,Sala A,False,False,True,True
2026-08-26 15:33:24,2026-08-26 15:33:23,46,3242572198,2026-08-26 15:33:24,server,c3:00:00:13:3b:b7,ESP-02,228284f7-c7fc-4939-9c36-a8ea7b1498d2,DIN2–AB-R5,,,Sala A,-66,Sala A,movimento,Sala A,True,Sala A,False,Sala A,False,False,Sala A,-57.5,-57.5,,Sala A,False,True,True,True
2026-08-26 15:33:26,2026-08-26 15:33:25,27,1242899341,2026-08-26 15:33:26,server,c3:00:00:13:3b:b7,ESP-03,11ba8928-e622-4ace-9fef-e6893280173c,DIN2–AB-R5,,,Sala B,-98,Sala A,movimento,Sala B,True,Sala A,False,Sala A,False,False,Sala A,-66.0,-66.0,,Sala A,False,False,True,True
