time,node_time,node_seq,boot_id,effective_time,clock_source,mac,esp_id,batch_id,experiment_id,trial_type,trial_position,raw_room,raw_rssi,ground_truth_room,ground_truth_scenario,baseline_room,baseline_changed,median_room,median_changed,median_hysteresis_room,median_hysteresis_changed,median_hysteresis_rejected,median_hysteresis_persistence_room,median_hysteresis_persistence_changed,baseline_agrees_with_final,median_agrees_with_final,median_hysteresis_agrees_with_final
2026-08-26 09:16:20,2026-08-26 09:16:16,20,2605610151,2026-08-26 09:16:20,server,c3:00:00:13:3b:b7,ESP-01,08ee1a85-ace1-4828-8324-7c2dfbee9ab1,DIN2–AB-R1,,,Corredor,-83,,,Corredor,True,Corredor,True,Corredor,True,False,,False,False,False,False
2026-08-26 09:16:27,2026-08-26 09:16:24,44,1888488593,2026-08-26 09:16:27,server,c3:00:00:13:3b:b7,ESP-02,245aff55-0d38-40b3-a18c-fdad569f5071,DIN2–AB-R1,,,Sala A,-61,Sala A,movimento,Sala A,True,Sala A,True,Sala A,True,False,,False,False,False,False
2026-08-26 09:16:29,2026-08-26 09:16:25,30,1366431522,2026-08-26 09:16:29,server,c3:00:00:13:3b:b7,ESP-03,752e4e89-9f11-4ac3-8fd5-c9a5c61c6dc4,DIN2–AB-R1,,,Sala B,-73,Sala A,movimento,Sala B,True,Sala A,False,Sala A,False,False,,False,False,False,False
2026-08-26 09:16:29,2026-08-26 09:16:26,21,2605610151,2026-08-26 09:16:29,server,c3:00:00:13:3b:b7,ESP-01,093002ed-9c29-4e66-9e44-c9dd41685b41,DIN2–AB-R1,,,Corredor,-76,Sala A,movimento,Corredor,True,Sala A,False,Sala A,False,False,Sala A,True,False,True,True
2026-08-26 09:16:34,2026-08-26 09:16:33,45,1888488593,2026-08-26 09:16:34,server,c3:00:00:13:3b:b7,ESP-02,655e2d0a-12fa-4fdc-bb46-687916bf37e8,DIN2–AB-R1,,,Sala A,-51,Sala A,movimento,Sala A,True,Sala A,False,Sala A,False,False,Sala A,False,True,True,True
2026-08-26 09:16:35,2026-08-26 09:16:34,31,1366431522,2026-08-26 09:16:35,server,c3:00:00:13:3b:b7,ESP-03,ea87645c-c665-419d-bdf4-995be69949e7,DIN2–AB-R1,,,Sala B,-85,Sala A,movimento,Sala B,True,Sala A,False,Sala A,False,False,Sala A,False,False,True,True
2026-08-26 09:16:35,2026-08-26 09:16:35,22,2605610151,2026-08-26 09:16:35,server,c3:00:00:13:3b:b7,ESP-01,98bc7a55-acf5-4820-b655-35605f225118,DIN2–AB-R1,,,Corredor,-81,Sala A,movimento,Corredor,True,Sala A,False,Sala A,False,False,Sala A,False,False,True,True
2026-08-26 09:16:40,2026-08-26 09:16:39,46,1888488593,2026-08-26 09:16:40,server,c3:00:00:13:3b:b7,ESP-02,edc0876a-bff6-4a0f-8fbf-c55edce51b81,DIN2–AB-R1,,,Sala A,-64,Sala A,movimento,Sala A,True,Sala A,False,Sala A,False,False,Sala A,False,True,True,True
2026-08-26 09:16:42,2026-08-26 09:16:41,32,1366431522,2026-08-26 09:16:42,server,c3:00:00:13:3b:b7,ESP-03,6f23aec3-71e2-44e7-9c5f-734fc301b4fd,DIN2–AB-R1,,,Sala B,-90,Corredor,movimento,Sala B,True,Sala A,False,Sala A,False,False,Sala A,False,False,True,True
2026-08-26 09:16:42,2026-08-26 09:16:41,23,2605610151,2026-08-26 09:16:42,server,c3:00:00:13:3b:b7,ESP-01,d6db2d41-de62-4c7b-a8d7-1004aae722b3,DIN2–AB-R1,,,Corredor,-91,Corredor,movimento,Corredor,True,Sala A,False,Sala A,False,False,Sala A,False,False,True,True
