time,node_time,node_seq,boot_id,effective_time,clock_source,mac,esp_id,batch_id,experiment_id,trial_type,trial_position,raw_room,raw_rssi,ground_truth_room,ground_truth_scenario,baseline_room,baseline_changed,median_room,median_changed,median_hysteresis_room,median_hysteresis_changed,median_hysteresis_rejected,median_hysteresis_candidate_room,median_hysteresis_candidate_rssi,median_hysteresis_current_room_rssi,median_hysteresis_difference_db,median_hysteresis_persistence_room,median_hysteresis_persistence_changed,baseline_agrees_with_final,median_agrees_with_final,median_hysteresis_agrees_with_final
2026-08-27 10:06:20,2026-08-27 10:06:18,927,2803322551,2026-08-27 10:06:20,server,c3:00:00:13:3b:b7,ESP-01,513307a3-ae1f-4cef-9ed4-ab88583de368,EST2-A1-R4,static,A1,Corredor,-82,Sala A,centro_sala,Corredor,True,Corredor,True,Corredor,True,False,Corredor,-82.0,,,,False,False,False,False
2026-08-27 10:06:21,2026-08-27 10:06:19,23,3179874409,2026-08-27 10:06:21,server,c3:00:00:13:3b:b7,ESP-02,7f5d14e5-3c99-401f-a91b-bfcca018e5e9,EST2-A1-R4,static,A1,Sala A,-68,Sala A,centro_sala,Sala A,True,Sala A,True,Sala A,True,False,Sala A,-68.0,-82.0,14.0,,False,False,False,False
2026-08-27 10:06:21,2026-08-27 10:06:19,1070,2780215821,2026-08-27 10:06:21,server,c3:00:00:13:3b:b7,ESP-03,2b02b25d-06fe-43fa-a6fb-48d0f2c94fa5,EST2-A1-R4,static,A1,Sala B,-91,Sala A,centro_sala,Sala B,True,Sala A,False,Sala A,False,False,Sala A,-68.0,-68.0,,Sala A,True,False,True,True
2026-08-27 10:06:24,2026-08-27 10:06:22,928,2803322551,2026-08-27 10:06:24,server,c3:00:00:13:3b:b7,ESP-01,f34ee6fc-a578-47df-aa84-685e4a87aafc,EST2-A1-R4,static,A1,Corredor,-72,Sala A,centro_sala,Corredor,True,Sala A,False,Sala A,False,False,Sala A,-68.0,-68.0,,Sala A,False,False,True,True
2026-08-27 10:06:24,2026-08-27 10:06:22,24,3179874409,2026-08-27 10:06:24,server,c3:00:00:13:3b:b7,ESP-02,68726661-86c2-4c8d-ad10-2f780473145b,EST2-A1-R4,static,A1,Sala A,-62,Sala A,centro_sala,Sala A,True,Sala A,False,Sala A,False,False,Sala A,-65.0,-65.0,,Sala A,False,True,True,True
2026-08-27 10:06:25,2026-08-27 10:06:23,1071,2780215821,2026-08-27 10:06:25,server,c3:00:00:13:3b:b7,ESP-03,923ccd80-79e2-47bd-9003-acffb65bd871,EST2-A1-R4,static,A1,Sala B,-86,Sala A,centro_sala,Sala B,True,Sala A,False,Sala A,False,False,Sala A,-62.0,-62.0,,Sala A,False,False,True,True
2026-08-27 10:06:27,2026-08-27 10:06:25,929,2803322551,2026-08-27 10:06:27,server,c3:00:00:13:3b:b7,ESP-01,54ff34e6-d2ff-4015-b92e-62f9fb8787db,EST2-A1-R4,static,A1,Corredor,-72,Sala A,centro_sala,Corredor,True,Sala A,False,Sala A,False,False,Sala A,-62.0,-62.0,,Sala A,False,False,True,True
2026-08-27 10:06:28,2026-08-27 10:06:26,25,3179874409,2026-08-27 10:06:28,server,c3:00:00:13:3b:b7,ESP-02,117ccd00-dc26-4418-9aaf-cb7a9c850810,EST2-A1-R4,static,A1,Sala A,-60,Sala A,centro_sala,Sala A,True,Sala A,False,Sala A,False,False,Sala A,-60.0,-60.0,,Sala A,False,True,True,True
2026-08-27 10:06:28,2026-08-27 10:06:26,1072,2780215821,2026-08-27 10:06:28,server,c3:00:00:13:3b:b7,ESP-03,5bd507ac-940b-4272-8398-9d4b5e073200,EST2-A1-R4,static,A1,Sala B,-91,Sala A,centro_sala,Sala B,True,Sala A,False,Sala A,False,False,Sala A,-60.0,-60.0,,Sala A,False,False,True,True
2026-08-27 10:06:31,2026-08-27 10:06:29,930,2803322551,2026-08-27 10:06:31,server,c3:00:00:13:3b:b7,ESP-01,ed49f6fd-7dfc-4452-908a-657833459f44,EST2-A1-R4,static,A1,Corredor,-73,Sala A,centro_sala,Corredor,True,Sala A,False,Sala A,False,False,Sala A,-60.0,-60.0,,Sala A,False,False,True,True
2026-08-27 10:06:32,2026-08-27 10:06:30,26,3179874409,2026-08-27 10:06:32,server,c3:00:00:13:3b:b7,ESP-02,61fe1927-9a42-46d5-b8ef-d876437690da,EST2-A1-R4,static,A1,Sala A,-60,Sala A,centro_sala,Sala A,True,Sala A,False,Sala A,False,False,Sala A,-60.0,-60.0,,Sala A,False,True,True,True
2026-08-27 10:06:32,2026-08-27 10:06:30,1073,2780215821,2026-08-27 10:06:32,server,c3:00:00:13:3b:b7,ESP-03,4a19af4a-5df7-4eec-b5c9-3b12abcd7382,EST2-A1-R4,static,A1,Sala B,-85,Sala A,centro_sala,Sala B,True,Sala A,False,Sala A,False,False,Sala A,-60.0,-60.0,,Sala A,False,False,True,True
2026-08-27 10:06:35,2026-08-27 10:06:33,931,2803322551,2026-08-27 10:06:35,server,c3:00:00:13:3b:b7,ESP-01,3821ca8e-71c1-4eea-af26-bd215c2aef4e,EST2-A1-R4,static,A1,Corredor,-73,Sala A,centro_sala,Corredor,True,Sala A,False,Sala A,False,False,Sala A,-60.0,-60.0,,Sala A,False,False,True,True
2026-08-27 10:06:35,2026-08-27 10:06:33,27,3179874409,2026-08-27 10:06:35,server,c3:00:00:13:3b:b7,ESP-02,47703799-427e-4bf8-b2d2-32d82d7523b2,EST2-A1-R4,static,A1,Sala A,-61,Sala A,centro_sala,Sala A,True,Sala A,False,Sala A,False,False,Sala A,-60.5,-60.5,,Sala A,False,True,True,True
2026-08-27 10:06:36,2026-08-27 10:06:34,1074,2780215821,2026-08-27 10:06:36,server,c3:00:00:13:3b:b7,ESP-03,edef1503-27f1-4e02-9f12-0cda3b19dc94,EST2-A1-R4,static,A1,Sala B,-91,Sala A,centro_sala,Sala B,True,Sala A,False,Sala A,False,False,Sala A,-61.0,-61.0,,Sala A,False,False,True,True
2026-08-27 10:06:38,2026-08-27 10:06:36,932,2803322551,2026-08-27 10:06:38,server,c3:00:00:13:3b:b7,ESP-01,81cbcc76-958c-47ae-ac12-df7c62c79445,EST2-A1-R4,static,A1,Corredor,-81,Sala A,centro_sala,Corredor,True,Sala A,False,Sala A,False,False,Sala A,-61.0,-61.0,,Sala A,False,False,True,True
