mac,method,num_detections,num_decided,num_transitions,first_decision_index,agree_rate_vs_final,accuracy,num_true_movements,num_missed_movements,missed_movement_rate,num_confirmed_after_transition,num_premature_before_transition,num_premature_without_confirmation,num_false_movements,false_movements_per_hour,latency_median_sec,latency_p95_sec,latency_iqr_sec,latency_min_sec,latency_max_sec,pct_time_unknown_or_transition
c3:00:00:13:3b:b7,baseline,52,52,46,0,0.2549019607843137,0.32653061224489793,0.0,0.0,,0.0,0.0,0.0,29.0,1631.25,,,,,,0.0
c3:00:00:13:3b:b7,median,52,52,16,0,0.7647058823529411,0.7755102040816326,0.0,0.0,,0.0,0.0,0.0,8.0,450.0,,,,,,0.0
c3:00:00:13:3b:b7,median_hysteresis,52,52,16,0,0.7647058823529411,0.7755102040816326,0.0,0.0,,0.0,0.0,0.0,8.0,450.0,,,,,,0.0
c3:00:00:13:3b:b7,median_hysteresis_persistence,52,51,6,1,1.0,0.8367346938775511,0.0,0.0,,0.0,0.0,0.0,3.0,168.75,,,,,,1.9230769230769231
c3:00:00:13:3c:1e,baseline,54,54,51,0,0.2692307692307692,,,,,,,,,,,,,,,0.0
c3:00:00:13:3c:1e,median,54,54,14,0,0.75,,,,,,,,,,,,,,,0.0
c3:00:00:13:3c:1e,median_hysteresis,54,54,12,0,0.8461538461538461,,,,,,,,,,,,,,,0.0
c3:00:00:13:3c:1e,median_hysteresis_persistence,54,52,5,2,1.0,,,,,,,,,,,,,,,3.7037037037037033
c3:00:00:13:3b:f2,baseline,54,54,51,0,0.2641509433962264,,,,,,,,,,,,,,,0.0
c3:00:00:13:3b:f2,median,54,54,14,0,0.7735849056603774,,,,,,,,,,,,,,,0.0
c3:00:00:13:3b:f2,median_hysteresis,54,54,12,0,0.8113207547169812,,,,,,,,,,,,,,,0.0
c3:00:00:13:3b:f2,median_hysteresis_persistence,54,53,6,1,1.0,,,,,,,,,,,,,,,1.8518518518518516
