mac,method,real_room,estimated_room,count
c3:00:00:13:3b:b7,baseline,Sala A,Corredor,19
c3:00:00:13:3b:b7,baseline,Sala A,Sala A,18
c3:00:00:13:3b:b7,baseline,Sala A,Sala B,18
c3:00:00:13:3b:b7,median,Sala A,Corredor,2
c3:00:00:13:3b:b7,median,Sala A,Sala A,41
c3:00:00:13:3b:b7,median,Sala A,Sala B,12
c3:00:00:13:3b:b7,median_hysteresis,Sala A,Corredor,4
c3:00:00:13:3b:b7,median_hysteresis,Sala A,Sala A,42
c3:00:00:13:3b:b7,median_hysteresis,Sala A,Sala B,9
c3:00:00:13:3b:b7,median_hysteresis_persistence,Sala A,Corredor,3
c3:00:00:13:3b:b7,median_hysteresis_persistence,Sala A,Sala A,41
c3:00:00:13:3b:b7,median_hysteresis_persistence,Sala A,Sala B,9
c3:00:00:13:3b:b7,median_hysteresis_persistence,Sala A,desconhecida,2
