time,node_time,node_seq,boot_id,effective_time,clock_source,mac,esp_id,batch_id,experiment_id,trial_type,trial_position,raw_room,raw_rssi,ground_truth_room,ground_truth_scenario,baseline_room,baseline_changed,median_room,median_changed,median_hysteresis_room,median_hysteresis_changed,median_hysteresis_rejected,median_hysteresis_candidate_room,median_hysteresis_candidate_rssi,median_hysteresis_current_room_rssi,median_hysteresis_difference_db,median_hysteresis_persistence_room,median_hysteresis_persistence_changed,baseline_agrees_with_final,median_agrees_with_final,median_hysteresis_agrees_with_final
2026-08-27 10:31:03,2026-08-27 10:31:01,1331,2803322551,2026-08-27 10:31:03,server,c3:00:00:13:3b:b7,ESP-01,e771e6bd-c0b7-496a-b183-978885790a48,EST2-B1-R4,static,B1,Corredor,-67,,,Corredor,True,Corredor,True,Corredor,True,False,Corredor,-67.0,,,,False,False,False,False
2026-08-27 10:31:06,2026-08-27 10:31:04,1477,2780215821,2026-08-27 10:31:06,server,c3:00:00:13:3b:b7,ESP-03,188c2ecd-5252-4617-a030-ccdca7471147,EST2-B1-R4,static,B1,Sala B,-54,Sala B,centro_sala,Sala B,True,Sala B,True,Sala B,True,False,Sala B,-54.0,-67.0,13.0,,False,False,False,False
2026-08-27 10:31:07,2026-08-27 10:31:05,1332,2803322551,2026-08-27 10:31:07,server,c3:00:00:13:3b:b7,ESP-01,aa290019-13d5-417a-a945-baa59ee261a7,EST2-B1-R4,static,B1,Corredor,-71,Sala B,centro_sala,Corredor,True,Sala B,False,Sala B,False,False,Sala B,-54.0,-54.0,,Sala B,True,False,True,True
2026-08-27 10:31:10,2026-08-27 10:31:08,1478,2780215821,2026-08-27 10:31:10,server,c3:00:00:13:3b:b7,ESP-03,571e0741-f2d4-4b3d-9613-e85207bef857,EST2-B1-R4,static,B1,Sala B,-61,Sala B,centro_sala,Sala B,True,Sala B,False,Sala B,False,False,Sala B,-61.0,-61.0,,Sala B,False,True,True,True
2026-08-27 10:31:10,2026-08-27 10:31:08,1333,2803322551,2026-08-27 10:31:10,server,c3:00:00:13:3b:b7,ESP-01,11e09d5c-9d4e-4e55-aea4-45eaf112e16a,EST2-B1-R4,static,B1,Corredor,-71,Sala B,centro_sala,Corredor,True,Sala B,False,Sala B,False,False,Sala B,-61.0,-61.0,,Sala B,False,False,True,True
2026-08-27 10:31:12,2026-08-27 10:31:04,220,49404702,2026-08-27 10:31:12,server,c3:00:00:13:3b:b7,ESP-02,db2ba881-8f91-4a1e-961e-f78198191c77,EST2-B1-R4,static,B1,Sala A,-82,Sala B,centro_sala,Sala A,True,Sala B,False,Sala B,False,False,Sala B,-61.0,-61.0,,Sala B,False,False,True,True
2026-08-27 10:31:14,2026-08-27 10:31:11,1479,2780215821,2026-08-27 10:31:14,server,c3:00:00:13:3b:b7,ESP-03,d99459ad-a9a4-4001-a3d6-18c7ffd48b03,EST2-B1-R4,static,B1,Sala B,-67,Sala B,centro_sala,Sala B,True,Sala B,False,Sala B,False,False,Sala B,-67.0,-67.0,,Sala B,False,True,True,True
2026-08-27 10:31:14,2026-08-27 10:31:12,1334,2803322551,2026-08-27 10:31:14,server,c3:00:00:13:3b:b7,ESP-01,e15923b0-c5e1-4ae7-b207-ee1def272813,EST2-B1-R4,static,B1,Corredor,-76,Sala B,centro_sala,Corredor,True,Sala B,False,Sala B,False,False,Sala B,-67.0,-67.0,,Sala B,False,False,True,True
2026-08-27 10:31:17,2026-08-27 10:31:15,1480,2780215821,2026-08-27 10:31:17,server,c3:00:00:13:3b:b7,ESP-03,c951f244-d66e-40b1-a07b-ac15e1868a98,EST2-B1-R4,static,B1,Sala B,-53,Sala B,centro_sala,Sala B,True,Sala B,False,Sala B,False,False,Sala B,-60.0,-60.0,,Sala B,False,True,True,True
2026-08-27 10:31:17,2026-08-27 10:31:15,1335,2803322551,2026-08-27 10:31:17,server,c3:00:00:13:3b:b7,ESP-01,2dbc4712-d5c7-4924-9cd5-1daf1f3e8dc6,EST2-B1-R4,static,B1,Corredor,-71,Sala B,centro_sala,Corredor,True,Sala B,False,Sala B,False,False,Sala B,-60.0,-60.0,,Sala B,False,False,True,True
