mac,method,real_room,estimated_room,count
c3:00:00:13:3b:b7,baseline,Sala B,Corredor,18
c3:00:00:13:3b:b7,baseline,Sala B,Sala A,18
c3:00:00:13:3b:b7,baseline,Sala B,Sala B,17
c3:00:00:13:3b:b7,median,Sala B,Corredor,4
c3:00:00:13:3b:b7,median,Sala B,Sala B,49
c3:00:00:13:3b:b7,median_hysteresis,Sala B,Corredor,4
c3:00:00:13:3b:b7,median_hysteresis,Sala B,Sala B,49
c3:00:00:13:3b:b7,median_hysteresis_persistence,Sala B,Corredor,2
c3:00:00:13:3b:b7,median_hysteresis_persistence,Sala B,Sala B,49
c3:00:00:13:3b:b7,median_hysteresis_persistence,Sala B,desconhecida,2
