time,node_time,node_seq,boot_id,effective_time,clock_source,mac,esp_id,batch_id,experiment_id,trial_type,trial_position,raw_room,raw_rssi,ground_truth_room,ground_truth_scenario,baseline_room,baseline_changed,median_room,median_changed,median_hysteresis_room,median_hysteresis_changed,median_hysteresis_rejected,median_hysteresis_candidate_room,median_hysteresis_candidate_rssi,median_hysteresis_current_room_rssi,median_hysteresis_difference_db,median_hysteresis_persistence_room,median_hysteresis_persistence_changed,baseline_agrees_with_final,median_agrees_with_final,median_hysteresis_agrees_with_final
2026-08-27 09:28:00,2026-08-27 09:27:58,440,2780215821,2026-08-27 09:28:00,server,c3:00:00:13:3b:b7,ESP-03,5ec79eff-7cbc-4163-ac0f-fdeef991f0e8,EST2-C3-R1,static,C3,Sala B,-66,Corredor,junto_porta,Sala B,True,Sala B,True,Sala B,True,False,Sala B,-66.0,,,,False,False,False,False
2026-08-27 09:28:00,2026-08-27 09:27:55,301,2803322551,2026-08-27 09:28:00,server,c3:00:00:13:3b:b7,ESP-01,0a6b66b8-9689-41fd-a8e0-200ba51ada9d,EST2-C3-R1,static,C3,Corredor,-64,Corredor,junto_porta,Corredor,True,Corredor,True,Sala B,False,True,Corredor,-64.0,-66.0,2.0,Sala B,True,False,False,True
2026-08-27 09:28:00,2026-08-27 09:27:58,13,1496059919,2026-08-27 09:28:00,server,c3:00:00:13:3b:b7,ESP-02,6727731e-2960-4ba2-a1d2-6ae095148d76,EST2-C3-R1,static,C3,Sala A,-87,Corredor,junto_porta,Sala A,True,Corredor,False,Sala B,False,True,Corredor,-64.0,-66.0,2.0,Sala B,False,False,False,True
2026-08-27 09:28:03,2026-08-27 09:28:01,302,2803322551,2026-08-27 09:28:03,server,c3:00:00:13:3b:b7,ESP-01,3fc62d5c-b81b-4c2d-a2fb-9c3c97001b80,EST2-C3-R1,static,C3,Corredor,-63,Corredor,junto_porta,Corredor,True,Corredor,False,Sala B,False,True,Corredor,-63.5,-66.0,2.5,Sala B,False,False,False,True
2026-08-27 09:28:03,2026-08-27 09:28:01,441,2780215821,2026-08-27 09:28:03,server,c3:00:00:13:3b:b7,ESP-03,381d422a-e310-4498-a488-2d123f06b647,EST2-C3-R1,static,C3,Sala B,-62,Corredor,junto_porta,Sala B,True,Corredor,False,Sala B,False,True,Corredor,-63.5,-64.0,0.5,Sala B,False,True,False,True
2026-08-27 09:28:04,2026-08-27 09:28:02,14,1496059919,2026-08-27 09:28:04,server,c3:00:00:13:3b:b7,ESP-02,faec4250-b111-41d5-bb38-7411f4d974fb,EST2-C3-R1,static,C3,Sala A,-86,Corredor,junto_porta,Sala A,True,Sala B,True,Sala B,False,False,Sala B,-62.0,-62.0,,Sala B,False,False,True,True
2026-08-27 09:28:07,2026-08-27 09:28:05,442,2780215821,2026-08-27 09:28:07,server,c3:00:00:13:3b:b7,ESP-03,1284ae39-98dc-4e1b-ba7c-77b9a4535d8a,EST2-C3-R1,static,C3,Sala B,-63,Corredor,junto_porta,Sala B,True,Sala B,False,Sala B,False,False,Sala B,-63.0,-63.0,,Sala B,False,True,True,True
2026-08-27 09:28:07,2026-08-27 09:28:06,15,1496059919,2026-08-27 09:28:07,server,c3:00:00:13:3b:b7,ESP-02,e3dfd1dc-5991-4296-923d-ee94f8071880,EST2-C3-R1,static,C3,Sala A,-88,Corredor,junto_porta,Sala A,True,Sala B,False,Sala B,False,False,Sala B,-63.0,-63.0,,Sala B,False,False,True,True
2026-08-27 09:28:10,2026-08-27 09:28:05,303,2803322551,2026-08-27 09:28:10,server,c3:00:00:13:3b:b7,ESP-01,ba2a63eb-9d72-4036-9c8b-e89a7401413f,EST2-C3-R1,static,C3,Corredor,-63,Corredor,junto_porta,Corredor,True,Sala B,False,Sala B,False,False,Sala B,-63.0,-63.0,,Sala B,False,False,True,True
2026-08-27 09:28:11,2026-08-27 09:28:09,443,2780215821,2026-08-27 09:28:11,server,c3:00:00:13:3b:b7,ESP-03,556b9465-4548-4b55-94f7-7c3c0e91706e,EST2-C3-R1,static,C3,Sala B,-63,Corredor,junto_porta,Sala B,True,Sala B,False,Sala B,False,False,Sala B,-63.0,-63.0,,Sala B,False,True,True,True
