time,node_time,node_seq,boot_id,effective_time,clock_source,mac,esp_id,batch_id,experiment_id,trial_type,trial_position,raw_room,raw_rssi,ground_truth_room,ground_truth_scenario,baseline_room,baseline_changed,median_room,median_changed,median_hysteresis_room,median_hysteresis_changed,median_hysteresis_rejected,median_hysteresis_candidate_room,median_hysteresis_candidate_rssi,median_hysteresis_current_room_rssi,median_hysteresis_difference_db,median_hysteresis_persistence_room,median_hysteresis_persistence_changed,baseline_agrees_with_final,median_agrees_with_final,median_hysteresis_agrees_with_final
2026-08-27 09:31:55,2026-08-27 09:31:53,365,2803322551,2026-08-27 09:31:55,server,c3:00:00:13:3b:b7,ESP-01,cc302949-00dd-403e-86a0-9356857c91e1,EST2-C3–R4,static,C3,Corredor,-62,Corredor,junto_porta,Corredor,True,Corredor,True,Corredor,True,False,Corredor,-62.0,,,,False,False,False,False
2026-08-27 09:31:56,2026-08-27 09:31:54,505,2780215821,2026-08-27 09:31:56,server,c3:00:00:13:3b:b7,ESP-03,019dddf9-f2ea-4a5b-97e4-6c61fbe1acd3,EST2-C3–R4,static,C3,Sala B,-62,Corredor,junto_porta,Sala B,True,Corredor,False,Corredor,False,False,Corredor,-62.0,-62.0,,Corredor,True,False,True,True
2026-08-27 09:31:57,2026-08-27 09:31:52,77,1496059919,2026-08-27 09:31:57,server,c3:00:00:13:3b:b7,ESP-02,c45c3192-03a1-4265-9373-e85d0d9f3173,EST2-C3–R4,static,C3,Sala A,-86,Corredor,junto_porta,Sala A,True,Corredor,False,Corredor,False,False,Corredor,-62.0,-62.0,,Corredor,False,False,True,True
2026-08-27 09:31:59,2026-08-27 09:31:57,366,2803322551,2026-08-27 09:31:59,server,c3:00:00:13:3b:b7,ESP-01,53358cb3-6c36-40b5-8e88-de836fd18965,EST2-C3–R4,static,C3,Corredor,-71,Corredor,junto_porta,Corredor,True,Sala B,True,Sala B,True,False,Sala B,-62.0,-71.0,9.0,Corredor,False,True,False,False
2026-08-27 09:31:59,2026-08-27 09:31:57,506,2780215821,2026-08-27 09:31:59,server,c3:00:00:13:3b:b7,ESP-03,0b7eabef-7df6-463d-9507-11676507aef4,EST2-C3–R4,static,C3,Sala B,-75,Corredor,junto_porta,Sala B,True,Sala B,False,Sala B,False,False,Sala B,-68.5,-68.5,,Sala B,True,True,True,True
2026-08-27 09:32:01,2026-08-27 09:31:58,78,1496059919,2026-08-27 09:32:01,server,c3:00:00:13:3b:b7,ESP-02,7a9b0816-eed3-4e31-9f39-ffa3487b9e42,EST2-C3–R4,static,C3,Sala A,-85,Corredor,junto_porta,Sala A,True,Corredor,True,Sala B,False,True,Corredor,-71.0,-75.0,4.0,Sala B,False,False,False,True
2026-08-27 09:32:02,2026-08-27 09:32:01,367,2803322551,2026-08-27 09:32:02,server,c3:00:00:13:3b:b7,ESP-01,6ea2ed34-56c8-4569-8bac-06f7e91ae0b5,EST2-C3–R4,static,C3,Corredor,-71,Corredor,junto_porta,Corredor,True,Corredor,False,Sala B,False,True,Corredor,-71.0,-75.0,4.0,Sala B,False,False,False,True
2026-08-27 09:32:03,2026-08-27 09:32:01,507,2780215821,2026-08-27 09:32:03,server,c3:00:00:13:3b:b7,ESP-03,fe9f58aa-bf54-4458-ac8b-c0a04bd2b4b7,EST2-C3–R4,static,C3,Sala B,-75,Corredor,junto_porta,Sala B,True,Corredor,False,Sala B,False,True,Corredor,-71.0,-75.0,4.0,Sala B,False,True,False,True
2026-08-27 09:32:05,2026-08-27 09:32:03,79,1496059919,2026-08-27 09:32:05,server,c3:00:00:13:3b:b7,ESP-02,c158d695-8f18-4c26-8319-8429d365519e,EST2-C3–R4,static,C3,Sala A,-85,Corredor,junto_porta,Sala A,True,Corredor,False,Sala B,False,True,Corredor,-71.0,-75.0,4.0,Sala B,False,False,False,True
2026-08-27 09:32:06,2026-08-27 09:32:04,368,2803322551,2026-08-27 09:32:06,server,c3:00:00:13:3b:b7,ESP-01,1836cddd-fe1a-4397-9f79-62f81eff809d,EST2-C3–R4,static,C3,Corredor,-63,Corredor,junto_porta,Corredor,True,Corredor,False,Corredor,True,False,Corredor,-63.0,-75.0,12.0,Sala B,False,False,False,False
2026-08-27 09:32:07,2026-08-27 09:32:05,508,2780215821,2026-08-27 09:32:07,server,c3:00:00:13:3b:b7,ESP-03,31cddd0b-e4bc-4fc7-b886-245ab712bfca,EST2-C3–R4,static,C3,Sala B,-66,Corredor,junto_porta,Sala B,True,Corredor,False,Corredor,False,False,Corredor,-63.0,-63.0,,Corredor,True,False,True,True
2026-08-27 09:32:08,2026-08-27 09:32:06,80,1496059919,2026-08-27 09:32:08,server,c3:00:00:13:3b:b7,ESP-02,155e527c-a602-4810-9cf8-7f387d77233b,EST2-C3–R4,static,C3,Sala A,-86,Corredor,junto_porta,Sala A,True,Corredor,False,Corredor,False,False,Corredor,-63.0,-63.0,,Corredor,False,False,True,True
2026-08-27 09:32:10,2026-08-27 09:32:08,369,2803322551,2026-08-27 09:32:10,server,c3:00:00:13:3b:b7,ESP-01,20b5fa66-8124-4f57-8a6b-a5f63366972b,EST2-C3–R4,static,C3,Corredor,-62,Corredor,junto_porta,Corredor,True,Corredor,False,Corredor,False,False,Corredor,-62.0,-62.0,,Corredor,False,True,True,True
2026-08-27 09:32:10,2026-08-27 09:32:08,509,2780215821,2026-08-27 09:32:10,server,c3:00:00:13:3b:b7,ESP-03,b50cfd5e-5c92-40b4-902a-9ecee619400a,EST2-C3–R4,static,C3,Sala B,-62,Corredor,junto_porta,Sala B,True,Corredor,False,Corredor,False,False,Corredor,-62.0,-62.0,,Corredor,False,False,True,True
2026-08-27 09:32:12,2026-08-27 09:32:10,81,1496059919,2026-08-27 09:32:12,server,c3:00:00:13:3b:b7,ESP-02,16f0c1f0-a66a-4d80-9434-37b52139df5c,EST2-C3–R4,static,C3,Sala A,-84,Corredor,junto_porta,Sala A,True,Corredor,False,Corredor,False,False,Corredor,-62.0,-62.0,,Corredor,False,False,True,True
2026-08-27 09:32:13,2026-08-27 09:32:11,510,2780215821,2026-08-27 09:32:13,server,c3:00:00:13:3b:b7,ESP-03,e5ea1324-fdee-4b4f-891b-fa8618d3fae4,EST2-C3–R4,static,C3,Sala B,-65,Corredor,junto_porta,Sala B,True,Corredor,False,Corredor,False,False,Corredor,-62.0,-62.0,,Corredor,False,False,True,True
2026-08-27 09:32:13,2026-08-27 09:32:11,370,2803322551,2026-08-27 09:32:13,server,c3:00:00:13:3b:b7,ESP-01,5d83a8d2-b4b8-4c13-9143-fdb2e8e99866,EST2-C3–R4,static,C3,Corredor,-62,Corredor,junto_porta,Corredor,True,Corredor,False,Corredor,False,False,Corredor,-62.0,-62.0,,Corredor,False,True,True,True
2026-08-27 09:32:15,2026-08-27 09:32:13,82,1496059919,2026-08-27 09:32:15,server,c3:00:00:13:3b:b7,ESP-02,eb1d60e9-0c97-4134-bb8d-bf285bf37192,EST2-C3–R4,static,C3,Sala A,-86,Corredor,junto_porta,Sala A,True,Corredor,False,Corredor,False,False,Corredor,-62.0,-62.0,,Corredor,False,False,True,True
2026-08-27 09:32:17,2026-08-27 09:32:15,371,2803322551,2026-08-27 09:32:17,server,c3:00:00:13:3b:b7,ESP-01,c6514900-e995-445b-b8e5-7289cfee8d89,EST2-C3–R4,static,C3,Corredor,-60,Corredor,junto_porta,Corredor,True,Corredor,False,Corredor,False,False,Corredor,-60.0,-60.0,,Corredor,False,True,True,True
2026-08-27 09:32:17,2026-08-27 09:32:15,511,2780215821,2026-08-27 09:32:17,server,c3:00:00:13:3b:b7,ESP-03,e15d77e3-9e0f-4064-8e26-9e5c347aedeb,EST2-C3–R4,static,C3,Sala B,-65,Corredor,junto_porta,Sala B,True,Corredor,False,Corredor,False,False,Corredor,-60.0,-60.0,,Corredor,False,False,True,True
2026-08-27 09:32:19,2026-08-27 09:32:17,83,1496059919,2026-08-27 09:32:19,server,c3:00:00:13:3b:b7,ESP-02,6e2b96dc-d428-4ec8-857d-f99ac296c764,EST2-C3–R4,static,C3,Sala A,-86,Corredor,junto_porta,Sala A,True,Corredor,False,Corredor,False,False,Corredor,-60.0,-60.0,,Corredor,False,False,True,True
2026-08-27 09:32:20,2026-08-27 09:32:18,372,2803322551,2026-08-27 09:32:20,server,c3:00:00:13:3b:b7,ESP-01,88fcab58-e391-4faf-b7ba-8a662fff47a9,EST2-C3–R4,static,C3,Corredor,-63,Corredor,junto_porta,Corredor,True,Corredor,False,Corredor,False,False,Corredor,-61.5,-61.5,,Corredor,False,True,True,True
2026-08-27 09:32:20,2026-08-27 09:32:18,512,2780215821,2026-08-27 09:32:20,server,c3:00:00:13:3b:b7,ESP-03,5204a99a-6c3c-4ee1-8cce-b759af988a27,EST2-C3–R4,static,C3,Sala B,-75,Corredor,junto_porta,Sala B,True,Corredor,False,Corredor,False,False,Corredor,-61.5,-61.5,,Corredor,False,False,True,True
2026-08-27 09:32:22,2026-08-27 09:32:20,84,1496059919,2026-08-27 09:32:22,server,c3:00:00:13:3b:b7,ESP-02,b6c6330a-cdee-4197-8de2-bc9842aa19ea,EST2-C3–R4,static,C3,Sala A,-95,Corredor,junto_porta,Sala A,True,Corredor,False,Corredor,False,False,Corredor,-63.0,-63.0,,Corredor,False,False,True,True
2026-08-27 09:32:24,2026-08-27 09:32:22,513,2780215821,2026-08-27 09:32:24,server,c3:00:00:13:3b:b7,ESP-03,32168adf-af3e-463a-ae2b-ff9bd9560baf,EST2-C3–R4,static,C3,Sala B,-66,Corredor,junto_porta,Sala B,True,Sala B,True,Sala B,True,False,Sala B,-66.0,,,Corredor,False,False,False,False
2026-08-27 09:32:24,2026-08-27 09:32:22,373,2803322551,2026-08-27 09:32:24,server,c3:00:00:13:3b:b7,ESP-01,9caa58a5-2eef-4bf5-a2a2-560b9a437241,EST2-C3–R4,static,C3,Corredor,-67,Corredor,junto_porta,Corredor,True,Sala B,False,Sala B,False,False,Sala B,-66.0,-66.0,,Sala B,True,False,True,True
2026-08-27 09:32:26,2026-08-27 09:32:24,85,1496059919,2026-08-27 09:32:26,server,c3:00:00:13:3b:b7,ESP-02,7044b500-9ccb-4fa7-b65e-c0d221b95a6e,EST2-C3–R4,static,C3,Sala A,-85,Corredor,junto_porta,Sala A,True,Sala B,False,Sala B,False,False,Sala B,-66.0,-66.0,,Sala B,False,False,True,True
2026-08-27 09:32:28,2026-08-27 09:32:26,374,2803322551,2026-08-27 09:32:28,server,c3:00:00:13:3b:b7,ESP-01,c29e8dd1-8b6d-490d-bd56-f4dd226b5b39,EST2-C3–R4,static,C3,Corredor,-63,Corredor,junto_porta,Corredor,True,Corredor,True,Corredor,True,False,Corredor,-63.0,,,Sala B,False,False,False,False
2026-08-27 09:32:28,2026-08-27 09:32:26,514,2780215821,2026-08-27 09:32:28,server,c3:00:00:13:3b:b7,ESP-03,f2d2189c-c3d6-4bfc-8f7e-0f8357beb3f3,EST2-C3–R4,static,C3,Sala B,-63,Corredor,junto_porta,Sala B,True,Corredor,False,Corredor,False,False,Corredor,-63.0,-63.0,,Corredor,True,False,True,True
2026-08-27 09:32:31,2026-08-27 09:32:29,515,2780215821,2026-08-27 09:32:31,server,c3:00:00:13:3b:b7,ESP-03,0cb7ef07-beb6-4b2d-985d-99e2b931e164,EST2-C3–R4,static,C3,Sala B,-63,Corredor,junto_porta,Sala B,False,Corredor,False,Corredor,False,False,Corredor,-63.0,-63.0,,Corredor,False,False,True,True
