time,node_time,node_seq,boot_id,effective_time,clock_source,mac,esp_id,batch_id,experiment_id,trial_type,trial_position,raw_room,raw_rssi,ground_truth_room,ground_truth_scenario,baseline_room,baseline_changed,median_room,median_changed,median_hysteresis_room,median_hysteresis_changed,median_hysteresis_rejected,median_hysteresis_candidate_room,median_hysteresis_candidate_rssi,median_hysteresis_current_room_rssi,median_hysteresis_difference_db,median_hysteresis_persistence_room,median_hysteresis_persistence_changed,baseline_agrees_with_final,median_agrees_with_final,median_hysteresis_agrees_with_final
2026-08-27 09:46:38,2026-08-27 09:46:36,747,2780215821,2026-08-27 09:46:38,server,c3:00:00:13:3b:b7,ESP-03,fb54114c-6019-4bb4-b7ea-96198384c8b3,EST2-P1-R2,static,P1,Sala B,-81,,,Sala B,True,Sala B,True,Sala B,True,False,Sala B,-81.0,,,,False,False,False,False
2026-08-27 09:46:38,2026-08-27 09:46:36,173,2373835382,2026-08-27 09:46:38,server,c3:00:00:13:3b:b7,ESP-02,0aff2910-fc71-4ce7-80f4-a9040a6276da,EST2-P1-R2,static,P1,Sala A,-52,,,Sala A,True,Sala A,True,Sala A,True,False,Sala A,-52.0,-81.0,29.0,,False,False,False,False
2026-08-27 09:46:38,2026-08-27 09:46:36,605,2803322551,2026-08-27 09:46:38,server,c3:00:00:13:3b:b7,ESP-01,a4f802f7-39a6-488f-a55c-de6df8ab7e36,EST2-P1-R2,static,P1,Corredor,-49,,,Corredor,True,Corredor,True,Sala A,False,True,Corredor,-49.0,-52.0,3.0,Sala A,True,False,False,True
2026-08-27 09:46:41,2026-08-27 09:46:39,748,2780215821,2026-08-27 09:46:41,server,c3:00:00:13:3b:b7,ESP-03,9e2368de-e644-40d4-8be8-59136da46124,EST2-P1-R2,static,P1,Sala B,-81,,,Sala B,True,Corredor,False,Sala A,False,True,Corredor,-49.0,-52.0,3.0,Sala A,False,False,False,True
2026-08-27 09:46:41,2026-08-27 09:46:39,174,2373835382,2026-08-27 09:46:41,server,c3:00:00:13:3b:b7,ESP-02,57f60abf-fbd9-40ab-8b89-bba06359afd5,EST2-P1-R2,static,P1,Sala A,-52,,,Sala A,True,Corredor,False,Sala A,False,True,Corredor,-49.0,-52.0,3.0,Sala A,False,True,False,True
2026-08-27 09:46:42,2026-08-27 09:46:40,606,2803322551,2026-08-27 09:46:42,server,c3:00:00:13:3b:b7,ESP-01,8a77c2d4-6eec-4907-a1cc-cf27b59427c8,EST2-P1-R2,static,P1,Corredor,-51,,,Corredor,True,Corredor,False,Sala A,False,True,Corredor,-51.0,-52.0,1.0,Sala A,False,False,False,True
2026-08-27 09:46:45,2026-08-27 09:46:43,749,2780215821,2026-08-27 09:46:45,server,c3:00:00:13:3b:b7,ESP-03,5f3b9262-773c-4907-8c9b-9a8a80cf9c05,EST2-P1-R2,static,P1,Sala B,-84,,,Sala B,True,Corredor,False,Corredor,True,False,Corredor,-51.0,,,Sala A,False,False,False,False
2026-08-27 09:46:45,2026-08-27 09:46:43,607,2803322551,2026-08-27 09:46:45,server,c3:00:00:13:3b:b7,ESP-01,8568fc48-fe5b-4863-8414-2d0d25bfde1e,EST2-P1-R2,static,P1,Corredor,-50,,,Corredor,True,Corredor,False,Corredor,False,False,Corredor,-50.5,-50.5,,Corredor,True,True,True,True
2026-08-27 09:46:48,2026-08-27 09:46:43,175,2373835382,2026-08-27 09:46:48,server,c3:00:00:13:3b:b7,ESP-02,d4b49337-5c95-44f1-92ec-fa8dc45f021c,EST2-P1-R2,static,P1,Sala A,-55,,,Sala A,True,Corredor,False,Corredor,False,False,Corredor,-50.0,-50.0,,Corredor,False,False,True,True
2026-08-27 09:46:48,2026-08-27 09:46:46,750,2780215821,2026-08-27 09:46:48,server,c3:00:00:13:3b:b7,ESP-03,d488658b-c1be-40d9-b4e2-35443211414e,EST2-P1-R2,static,P1,Sala B,-84,,,Sala B,True,Corredor,False,Corredor,False,False,Corredor,-50.0,-50.0,,Corredor,False,False,True,True
2026-08-27 09:46:49,2026-08-27 09:46:47,608,2803322551,2026-08-27 09:46:49,server,c3:00:00:13:3b:b7,ESP-01,25bd10e2-7f00-4774-84d3-741dccddac47,EST2-P1-R2,static,P1,Corredor,-49,,,Corredor,True,Corredor,False,Corredor,False,False,Corredor,-49.0,-49.0,,Corredor,False,True,True,True
2026-08-27 09:46:52,2026-08-27 09:46:50,751,2780215821,2026-08-27 09:46:52,server,c3:00:00:13:3b:b7,ESP-03,a6a2dc8e-6a8e-4a7d-b97c-e8b4f78d5bd8,EST2-P1-R2,static,P1,Sala B,-82,,,Sala B,True,Corredor,False,Corredor,False,False,Corredor,-49.0,-49.0,,Corredor,False,False,True,True
2026-08-27 09:46:52,2026-08-27 09:46:50,176,2373835382,2026-08-27 09:46:52,server,c3:00:00:13:3b:b7,ESP-02,8e9fc3a9-c7dc-4afb-9a75-5b1a167451d8,EST2-P1-R2,static,P1,Sala A,-55,,,Sala A,True,Corredor,False,Corredor,False,False,Corredor,-49.0,-49.0,,Corredor,False,False,True,True
2026-08-27 09:46:52,2026-08-27 09:46:50,609,2803322551,2026-08-27 09:46:52,server,c3:00:00:13:3b:b7,ESP-01,e744d765-398e-4945-8b9b-a6212831e96e,EST2-P1-R2,static,P1,Corredor,-51,,,Corredor,True,Corredor,False,Corredor,False,False,Corredor,-50.0,-50.0,,Corredor,False,True,True,True
2026-08-27 09:46:55,2026-08-27 09:46:53,752,2780215821,2026-08-27 09:46:55,server,c3:00:00:13:3b:b7,ESP-03,7fa2f3a2-ffb9-4494-ad23-fae38bc4bc63,EST2-P1-R2,static,P1,Sala B,-83,,,Sala B,True,Corredor,False,Corredor,False,False,Corredor,-51.0,-51.0,,Corredor,False,False,True,True
2026-08-27 09:46:56,2026-08-27 09:46:53,177,2373835382,2026-08-27 09:46:56,server,c3:00:00:13:3b:b7,ESP-02,06175218-4a4e-4630-bed9-d79a56d8b93e,EST2-P1-R2,static,P1,Sala A,-60,,,Sala A,True,Sala A,True,Sala A,True,False,Sala A,-60.0,,,Corredor,False,False,False,False
2026-08-27 09:46:56,2026-08-27 09:46:54,610,2803322551,2026-08-27 09:46:56,server,c3:00:00:13:3b:b7,ESP-01,748cdf9f-aa25-4255-91ec-886218c17d10,EST2-P1-R2,static,P1,Corredor,-51,,,Corredor,True,Corredor,True,Corredor,True,False,Corredor,-51.0,-60.0,9.0,Corredor,False,True,True,True
2026-08-27 09:46:59,2026-08-27 09:46:57,753,2780215821,2026-08-27 09:46:59,server,c3:00:00:13:3b:b7,ESP-03,7b75d325-fed7-42f0-969e-8bafc6f0201e,EST2-P1-R2,static,P1,Sala B,-80,,,Sala B,True,Corredor,False,Corredor,False,False,Corredor,-51.0,-51.0,,Corredor,False,False,True,True
2026-08-27 09:47:00,2026-08-27 09:46:58,611,2803322551,2026-08-27 09:47:00,server,c3:00:00:13:3b:b7,ESP-01,f0aae6b4-f2f6-49e9-b9a3-08ee9d725b14,EST2-P1-R2,static,P1,Corredor,-48,,,Corredor,True,Corredor,False,Corredor,False,False,Corredor,-48.0,-48.0,,Corredor,False,True,True,True
2026-08-27 09:47:02,2026-08-27 09:46:57,178,2373835382,2026-08-27 09:47:02,server,c3:00:00:13:3b:b7,ESP-02,ad90df73-77c9-49f6-89a2-1da55fab5d04,EST2-P1-R2,static,P1,Sala A,-55,,,Sala A,True,Corredor,False,Corredor,False,False,Corredor,-48.0,-48.0,,Corredor,False,False,True,True
2026-08-27 09:47:03,2026-08-27 09:47:01,754,2780215821,2026-08-27 09:47:03,server,c3:00:00:13:3b:b7,ESP-03,24698844-d768-4dc8-bdea-5c254c0b7bdb,EST2-P1-R2,static,P1,Sala B,-81,,,Sala B,True,Corredor,False,Corredor,False,False,Corredor,-48.0,-48.0,,Corredor,False,False,True,True
2026-08-27 09:47:03,2026-08-27 09:47:01,612,2803322551,2026-08-27 09:47:03,server,c3:00:00:13:3b:b7,ESP-01,c5039a1d-56a5-4508-9bb5-6c55f3b196af,EST2-P1-R2,static,P1,Corredor,-52,,,Corredor,True,Corredor,False,Corredor,False,False,Corredor,-50.0,-50.0,,Corredor,False,True,True,True
2026-08-27 09:47:06,2026-08-27 09:47:04,179,2373835382,2026-08-27 09:47:06,server,c3:00:00:13:3b:b7,ESP-02,f51e9452-b057-4c05-8934-a7bc28b33059,EST2-P1-R2,static,P1,Sala A,-56,,,Sala A,True,Corredor,False,Corredor,False,False,Corredor,-52.0,-52.0,,Corredor,False,False,True,True
2026-08-27 09:47:06,2026-08-27 09:47:04,755,2780215821,2026-08-27 09:47:06,server,c3:00:00:13:3b:b7,ESP-03,c57cafb0-e838-4799-a3d4-c217228969ee,EST2-P1-R2,static,P1,Sala B,-83,,,Sala B,True,Corredor,False,Corredor,False,False,Corredor,-52.0,-52.0,,Corredor,False,False,True,True
2026-08-27 09:47:07,2026-08-27 09:47:05,613,2803322551,2026-08-27 09:47:07,server,c3:00:00:13:3b:b7,ESP-01,7b3b943d-9a3f-4573-bf11-ddf77c175829,EST2-P1-R2,static,P1,Corredor,-50,,,Corredor,True,Corredor,False,Corredor,False,False,Corredor,-50.0,-50.0,,Corredor,False,True,True,True
2026-08-27 09:47:10,2026-08-27 09:47:08,756,2780215821,2026-08-27 09:47:10,server,c3:00:00:13:3b:b7,ESP-03,adeba2a2-930d-4686-a8c4-153fe8e386d4,EST2-P1-R2,static,P1,Sala B,-83,,,Sala B,True,Corredor,False,Corredor,False,False,Corredor,-50.0,-50.0,,Corredor,False,False,True,True
2026-08-27 09:47:10,2026-08-27 09:47:08,180,2373835382,2026-08-27 09:47:10,server,c3:00:00:13:3b:b7,ESP-02,22735330-ed42-4c2f-916e-2d4c88e2b1a8,EST2-P1-R2,static,P1,Sala A,-51,,,Sala A,True,Corredor,False,Corredor,False,False,Corredor,-50.0,-50.0,,Corredor,False,False,True,True
2026-08-27 09:47:10,2026-08-27 09:47:08,614,2803322551,2026-08-27 09:47:10,server,c3:00:00:13:3b:b7,ESP-01,170dfa73-5425-4d93-b9e8-be5c7eb7799c,EST2-P1-R2,static,P1,Corredor,-48,,,Corredor,True,Corredor,False,Corredor,False,False,Corredor,-49.0,-49.0,,Corredor,False,True,True,True
2026-08-27 09:47:13,2026-08-27 09:47:11,757,2780215821,2026-08-27 09:47:13,server,c3:00:00:13:3b:b7,ESP-03,0f4c7946-f9f3-4a91-aee9-f100e9cdc671,EST2-P1-R2,static,P1,Sala B,-84,,,Sala B,True,Corredor,False,Corredor,False,False,Corredor,-48.0,-48.0,,Corredor,False,False,True,True
2026-08-27 09:47:13,2026-08-27 09:47:11,181,2373835382,2026-08-27 09:47:13,server,c3:00:00:13:3b:b7,ESP-02,d64a49d5-ca59-494f-8570-cc96b68d4769,EST2-P1-R2,static,P1,Sala A,-61,,,Sala A,True,Corredor,False,Corredor,False,False,Corredor,-48.0,-48.0,,Corredor,False,False,True,True
2026-08-27 09:47:14,2026-08-27 09:47:12,615,2803322551,2026-08-27 09:47:14,server,c3:00:00:13:3b:b7,ESP-01,5865d3fc-8a9d-4566-8b98-bff2b618581b,EST2-P1-R2,static,P1,Corredor,-50,,,Corredor,True,Corredor,False,Corredor,False,False,Corredor,-50.0,-50.0,,Corredor,False,True,True,True
2026-08-27 09:47:17,2026-08-27 09:47:15,758,2780215821,2026-08-27 09:47:17,server,c3:00:00:13:3b:b7,ESP-03,2e3fe1f7-bf39-41fe-a387-11bef26f4cb7,EST2-P1-R2,static,P1,Sala B,-83,,,Sala B,True,Corredor,False,Corredor,False,False,Corredor,-50.0,-50.0,,Corredor,False,False,True,True
2026-08-27 09:47:17,2026-08-27 09:47:15,182,2373835382,2026-08-27 09:47:17,server,c3:00:00:13:3b:b7,ESP-02,b96cfebb-b112-4253-b186-91630d2e4e1e,EST2-P1-R2,static,P1,Sala A,-61,,,Sala A,True,Corredor,False,Corredor,False,False,Corredor,-50.0,-50.0,,Corredor,False,False,True,True
2026-08-27 09:47:17,2026-08-27 09:47:15,616,2803322551,2026-08-27 09:47:17,server,c3:00:00:13:3b:b7,ESP-01,45da1f6c-735b-49e5-bfc5-da90fc190fe5,EST2-P1-R2,static,P1,Corredor,-51,,,Corredor,True,Corredor,False,Corredor,False,False,Corredor,-50.5,-50.5,,Corredor,False,True,True,True
2026-08-27 09:47:21,2026-08-27 09:47:19,759,2780215821,2026-08-27 09:47:21,server,c3:00:00:13:3b:b7,ESP-03,298ba378-789c-4ac1-9b21-00cb5d9c43e2,EST2-P1-R2,static,P1,Sala B,-84,,,Sala B,True,Sala B,True,Sala B,True,False,Sala B,-84.0,,,Corredor,False,False,False,False
2026-08-27 09:47:21,2026-08-27 09:47:19,183,2373835382,2026-08-27 09:47:21,server,c3:00:00:13:3b:b7,ESP-02,b9fafdaf-006f-42a7-bdb5-8460abd3d745,EST2-P1-R2,static,P1,Sala A,-55,,,Sala A,True,Sala A,True,Sala A,True,False,Sala A,-55.0,-84.0,29.0,Corredor,False,False,False,False
2026-08-27 09:47:21,2026-08-27 09:47:19,617,2803322551,2026-08-27 09:47:21,server,c3:00:00:13:3b:b7,ESP-01,4cb572e7-ca4f-4eb0-8320-76c264e578bb,EST2-P1-R2,static,P1,Corredor,-52,,,Corredor,True,Corredor,True,Sala A,False,True,Corredor,-52.0,-55.0,3.0,Sala A,True,False,False,True
2026-08-27 09:47:24,2026-08-27 09:47:22,760,2780215821,2026-08-27 09:47:24,server,c3:00:00:13:3b:b7,ESP-03,3016543d-1503-4016-ab86-3a808ed92d4d,EST2-P1-R2,static,P1,Sala B,-81,,,Sala B,True,Corredor,False,Sala A,False,True,Corredor,-52.0,-55.0,3.0,Sala A,False,False,False,True
2026-08-27 09:47:24,2026-08-27 09:47:22,184,2373835382,2026-08-27 09:47:24,server,c3:00:00:13:3b:b7,ESP-02,d1cda777-15bc-4a1d-a9ec-3afa29e5a836,EST2-P1-R2,static,P1,Sala A,-52,,,Sala A,True,Corredor,False,Sala A,False,True,Corredor,-52.0,-53.5,1.5,Sala A,False,True,False,True
2026-08-27 09:47:25,2026-08-27 09:47:23,618,2803322551,2026-08-27 09:47:25,server,c3:00:00:13:3b:b7,ESP-01,5be9cafc-7bed-44b1-b966-caab537908e5,EST2-P1-R2,static,P1,Corredor,-50,,,Corredor,True,Corredor,False,Sala A,False,True,Corredor,-50.0,-52.0,2.0,Sala A,False,False,False,True
2026-08-27 09:47:28,2026-08-27 09:47:26,761,2780215821,2026-08-27 09:47:28,server,c3:00:00:13:3b:b7,ESP-03,6ddabdfc-0a55-4155-8eb4-1390930e104d,EST2-P1-R2,static,P1,Sala B,-80,,,Sala B,True,Corredor,False,Corredor,True,False,Corredor,-50.0,,,Sala A,False,False,False,False
2026-08-27 09:47:28,2026-08-27 09:47:26,185,2373835382,2026-08-27 09:47:28,server,c3:00:00:13:3b:b7,ESP-02,1a832103-63fb-4f61-9a27-3eb107a68570,EST2-P1-R2,static,P1,Sala A,-52,,,Sala A,True,Corredor,False,Corredor,False,False,Corredor,-50.0,-50.0,,Corredor,True,False,True,True
2026-08-27 09:47:28,2026-08-27 09:47:26,619,2803322551,2026-08-27 09:47:28,server,c3:00:00:13:3b:b7,ESP-01,89836713-f284-4c1b-8307-e99391c85e7a,EST2-P1-R2,static,P1,Corredor,-50,,,Corredor,True,Corredor,False,Corredor,False,False,Corredor,-50.0,-50.0,,Corredor,False,True,True,True
2026-08-27 09:47:31,2026-08-27 09:47:29,186,2373835382,2026-08-27 09:47:31,server,c3:00:00:13:3b:b7,ESP-02,e3d4c6e9-6309-415d-a336-3657d3eb7f0f,EST2-P1-R2,static,P1,Sala A,-61,,,Sala A,True,Corredor,False,Corredor,False,False,Corredor,-50.0,-50.0,,Corredor,False,False,True,True
2026-08-27 09:47:32,2026-08-27 09:47:30,620,2803322551,2026-08-27 09:47:32,server,c3:00:00:13:3b:b7,ESP-01,4f4f6214-ee76-4aff-b18f-33ba6484fe66,EST2-P1-R2,static,P1,Corredor,-51,,,Corredor,True,Corredor,False,Corredor,False,False,Corredor,-51.0,-51.0,,Corredor,False,True,True,True
