mac,method,num_detections,num_decided,num_transitions,first_decision_index,agree_rate_vs_final,accuracy,num_true_movements,num_missed_movements,missed_movement_rate,num_confirmed_after_transition,num_premature_before_transition,num_premature_without_confirmation,num_false_movements,false_movements_per_hour,latency_median_sec,latency_p95_sec,latency_iqr_sec,latency_min_sec,latency_max_sec,pct_time_unknown_or_transition
c3:00:00:13:3b:b7,baseline,50,50,48,0,0.3469387755102041,,,,,,,,,,,,,,,0.0
c3:00:00:13:3b:b7,median,50,50,2,0,0.9795918367346939,,,,,,,,,,,,,,,0.0
c3:00:00:13:3b:b7,median_hysteresis,50,50,2,0,0.9795918367346939,,,,,,,,,,,,,,,0.0
c3:00:00:13:3b:b7,median_hysteresis_persistence,50,49,0,1,1.0,,,,,,,,,,,,,,,2.0
c3:00:00:13:3c:1e,baseline,51,51,50,0,0.32,,,,,,,,,,,,,,,0.0
c3:00:00:13:3c:1e,median,51,51,2,0,0.96,,,,,,,,,,,,,,,0.0
c3:00:00:13:3c:1e,median_hysteresis,51,51,1,0,0.98,,,,,,,,,,,,,,,0.0
c3:00:00:13:3c:1e,median_hysteresis_persistence,51,50,1,1,1.0,,,,,,,,,,,,,,,1.9607843137254901
c3:00:00:13:3b:f2,baseline,49,49,48,0,0.32608695652173914,,,,,,,,,,,,,,,0.0
c3:00:00:13:3b:f2,median,49,49,8,0,0.8695652173913043,,,,,,,,,,,,,,,0.0
c3:00:00:13:3b:f2,median_hysteresis,49,49,4,0,0.9565217391304348,,,,,,,,,,,,,,,0.0
c3:00:00:13:3b:f2,median_hysteresis_persistence,49,46,2,3,1.0,,,,,,,,,,,,,,,6.122448979591836
